year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,supply_curve_cost_per_mw,built_capacity,investment_bool
2018,31037,52562,37.441,-106.003,p34,5,1,1165.754674214778,301.5,0
2018,27909,48018,38.759,-103.943,p34,5,2,6230.463320498731,6.699999999999818,0
2018,6639,19412,44.18899999999999,-121.191,p5,4,1,7966.665690031412,131.70000000000027,1
2018,46051,74214,31.769,-106.252,p59,7,1,11021.772580640292,10.299999999999955,0
2018,11516,27003,42.077,-121.699,p6,4,1,6484.197259662879,68.79999999999995,1
2018,12437,28164,42.31,-118.571,p7,4,1,1855.8987812347204,63.0,1
2018,18851,36336,41.885,-89.85700000000001,p80,3,18,40252.40588918568,9.0,0
2018,29654,50558,36.094,-120.106,p9,6,1,7561.286457201259,2525.57139375,1
2018,31498,53216,35.379,-120.129,p9,6,1,15234.556548827522,225.66860625000027,1
2020,33772,56268,34.901,-118.318,p10,6,1,3498.713204010492,2294.99138461538,0
2020,34061,56646,34.759,-118.545,p10,6,7,22996.243665644142,21.0,0
2020,41144,66547,32.704,-115.125,p10,7,1,4192.343346306519,909.564615384615,0
2020,41146,66549,32.744,-114.873,p10,7,2,5936.406118444633,1580.89461538462,0
2020,40889,66168,32.821,-115.025,p10,7,3,12943.056893811929,1481.135384615389,0
2020,40617,65781,32.777,-115.935,p10,7,4,22151.425927789965,1465.6,1
2020,50755,85807,28.392,-82.251,p101,5,12,38317.706447198696,25.0,0
2020,39049,63496,33.251999999999995,-116.733,p11,6,1,5548.73594315184,62.299999999999955,0
2020,28650,49078,37.36,-114.911,p12,6,1,1156.0733544655063,298.2000000000003,1
2020,31252,52876,36.36,-114.908,p13,6,1,2338.8171989892207,1495.627790625,0
2020,30981,52493,36.397,-115.334,p13,6,1,3749.270555481093,460.9722093749999,1
2020,32067,54009,35.931999999999995,-115.753,p13,6,20,104848.59785039046,10.0,0
2020,10206,25141,43.442,-116.356,p15,4,1,1040.8784565595813,200.0,0
2020,15144,31618,42.145,-113.356,p16,4,1,993.8409668001392,40.0,0
2020,17209,34299,41.81,-110.123,p21,4,1,1387.431671026059,92.0,0
2020,31287,52917,37.042,-109.397,p25,6,1,9706.418830448572,1089.4,1
2020,22430,40761,40.197,-109.475,p26,5,1,9845.12119820366,57.59999999999991,1
2020,36357,59722,34.735,-113.656,p27,6,1,3204.978219070488,74.0,0
2020,38238,62379,34.001999999999995,-113.872,p28,6,1,1103.4691319312185,554.1000000000004,0
2020,41906,67692,32.511,-114.419,p28,7,1,21504.362873535043,1248.9,1
2020,33530,55954,36.223,-109.646,p29,6,1,1359.0199170283956,8.300000000000182,0
2020,2391,11831,46.544,-119.104,p3,3,1,2424.219490924944,19.199999999999818,0
2020,44146,71139,32.099000000000004,-110.81,p30,6,1,1571.6761117400213,128.44000000000005,0
2020,45599,73450,31.923,-106.786,p31,7,1,9414.943366517493,452.49999999999955,1
2020,25383,44596,39.619,-104.335,p33,5,1,4095.333542761631,143.69999999999982,1
2020,31037,52562,37.441,-106.003,p34,5,1,1165.754674214778,396.5,1
2020,27909,48018,38.759,-103.943,p34,5,2,6230.463320498731,6.699999999999818,0
2020,6639,19412,44.18899999999999,-121.191,p5,4,1,7966.665690031412,151.70000000000027,1
2020,46051,74214,31.769,-106.252,p59,7,1,11021.772580640292,10.299999999999955,0
2020,11516,27003,42.077,-121.699,p6,4,1,6484.197259662879,84.39999999999986,1
2020,12437,28164,42.31,-118.571,p7,4,1,1855.8987812347204,215.0999999999999,1
2020,17140,34226,40.365,-120.549,p8,5,1,3962.8952077144286,7.599999999999909,1
2020,18851,36336,41.885,-89.85700000000001,p80,3,18,40252.40588918568,9.0,0
2020,29654,50558,36.094,-120.106,p9,6,1,7561.286457201259,2525.57139375,0
2020,31498,53216,35.379,-120.129,p9,6,1,15234.556548827522,1082.9686062500002,1
2022,1003,8784,47.13,-120.51,p1,3,1,5662.650344010896,15.0,1
2022,33772,56268,34.901,-118.318,p10,6,1,3498.713204010492,2324.646084375,1
2022,31778,53601,35.406,-119.448,p10,6,1,4004.9788897441376,1357.8453002403799,1
2022,34061,56646,34.759,-118.545,p10,6,7,22996.243665644142,21.0,0
2022,41144,66547,32.704,-115.125,p10,7,1,4192.343346306519,909.564615384615,0
2022,41146,66549,32.744,-114.873,p10,7,2,5936.406118444633,1580.89461538462,0
2022,40889,66168,32.821,-115.025,p10,7,3,12943.056893811929,1481.135384615389,0
2022,40617,65781,32.777,-115.935,p10,7,4,22151.425927789965,1465.6,0
2022,50755,85807,28.392,-82.251,p101,5,12,38317.706447198696,25.0,0
2022,39049,63496,33.251999999999995,-116.733,p11,6,1,5548.73594315184,142.29999999999995,1
2022,28650,49078,37.36,-114.911,p12,6,1,1156.0733544655063,298.2000000000003,0
2022,31252,52876,36.36,-114.908,p13,6,1,2338.8171989892207,1495.627790625,0
2022,30981,52493,36.397,-115.334,p13,6,1,3749.270555481093,1110.972209375,1
2022,32067,54009,35.931999999999995,-115.753,p13,6,20,104848.59785039046,10.0,0
2022,10206,25141,43.442,-116.356,p15,4,1,1040.8784565595813,200.0,0
2022,15144,31618,42.145,-113.356,p16,4,1,993.8409668001392,40.0,0
2022,6903,19848,45.292,-112.702,p17,3,1,4558.926033097982,80.0,1
2022,2571,12209,46.402,-119.374,p2,3,1,997.0629985137956,150.0,1
2022,6448,19117,45.915,-108.25,p20,3,1,2621.2172658440422,80.0,1
2022,17209,34299,41.81,-110.123,p21,4,1,1387.431671026059,92.0,0
2022,12218,27880,43.928,-104.316,p23,4,1,6610.005330806842,0.1082518260575398,1
2022,31287,52917,37.042,-109.397,p25,6,1,9706.418830448572,1706.3000000000002,1
2022,22430,40761,40.197,-109.475,p26,5,1,9845.12119820366,57.59999999999991,0
2022,36357,59722,34.735,-113.656,p27,6,1,3204.978219070488,74.0,0
2022,38238,62379,34.001999999999995,-113.872,p28,6,1,1103.4691319312185,554.1000000000004,0
2022,41906,67692,32.511,-114.419,p28,7,1,21504.362873535043,1798.9,1
2022,33530,55954,36.223,-109.646,p29,6,1,1359.0199170283956,8.300000000000182,0
2022,2391,11831,46.544,-119.104,p3,3,1,2424.219490924944,19.199999999999818,0
2022,44146,71139,32.099000000000004,-110.81,p30,6,1,1571.6761117400213,128.44000000000005,0
2022,45599,73450,31.923,-106.786,p31,7,1,9414.943366517493,452.49999999999955,0
2022,25383,44596,39.619,-104.335,p33,5,1,4095.333542761631,232.69999999999982,1
2022,31037,52562,37.441,-106.003,p34,5,1,1165.754674214778,636.5,1
2022,27909,48018,38.759,-103.943,p34,5,2,6230.463320498731,6.699999999999818,0
2022,6639,19412,44.18899999999999,-121.191,p5,4,1,7966.665690031412,641.3000000000002,1
2022,46051,74214,31.769,-106.252,p59,7,1,11021.772580640292,74.38245804801227,1
2022,11516,27003,42.077,-121.699,p6,4,1,6484.197259662879,84.39999999999986,0
2022,12437,28164,42.31,-118.571,p7,4,1,1855.8987812347204,264.0999999999999,1
2022,17140,34226,40.365,-120.549,p8,5,1,3962.8952077144286,7.599999999999909,0
2022,18851,36336,41.885,-89.85700000000001,p80,3,18,40252.40588918568,9.0,0
2022,29654,50558,36.094,-120.106,p9,6,1,7561.286457201259,2525.57139375,0
2022,31498,53216,35.379,-120.129,p9,6,1,15234.556548827522,1280.34725625,1
2022,29152,49797,36.26,-120.305,p9,6,1,16632.579278531695,114.55519615384605,1
2022,29401,50177,36.165,-120.271,p9,6,2,20279.741465094387,568.5661538461541,1
2024,1003,8784,47.13,-120.51,p1,3,1,5662.650344010896,15.0,0
2024,33772,56268,34.901,-118.318,p10,6,1,3498.713204010492,2324.646084375,0
2024,31778,53601,35.406,-119.448,p10,6,1,4004.9788897441376,2214.743259375,1
2024,35533,58575,34.894,-114.643,p10,6,1,4023.676633642185,2106.578390625,1
2024,34642,57410,34.659,-117.968,p10,6,1,4038.762729821812,1687.3173271970004,1
2024,34061,56646,34.759,-118.545,p10,6,7,22996.243665644142,21.0,0
2024,41144,66547,32.704,-115.125,p10,7,1,4192.343346306519,909.564615384615,0
2024,41146,66549,32.744,-114.873,p10,7,2,5936.406118444633,1580.89461538462,0
2024,40889,66168,32.821,-115.025,p10,7,3,12943.056893811929,1481.135384615389,0
2024,40617,65781,32.777,-115.935,p10,7,4,22151.425927789965,1465.6,0
2024,50755,85807,28.392,-82.251,p101,5,12,38317.706447198696,25.0,0
2024,39049,63496,33.251999999999995,-116.733,p11,6,1,5548.73594315184,716.37937734375,1
2024,40879,66158,32.617,-116.286,p11,6,1,31876.9879847924,49.89908419471101,1
2024,40880,66159,32.638000000000005,-116.16,p11,6,2,38561.12672956741,220.384615384615,1
2024,40611,65773,32.607,-116.942,p11,6,3,42790.13974432775,102.455634375,1
2024,40878,66157,32.596,-116.412,p11,6,3,52334.51179805403,81.650519471154,1
2024,28650,49078,37.36,-114.911,p12,6,1,1156.0733544655063,637.2000000000003,1
2024,31252,52876,36.36,-114.908,p13,6,1,2338.8171989892207,1495.627790625,0
2024,30981,52493,36.397,-115.334,p13,6,1,3749.270555481093,1580.972209375,1
2024,32067,54009,35.931999999999995,-115.753,p13,6,20,104848.59785039046,10.0,0
2024,10206,25141,43.442,-116.356,p15,4,1,1040.8784565595813,200.0,0
2024,15144,31618,42.145,-113.356,p16,4,1,993.8409668001392,40.0,0
2024,6903,19848,45.292,-112.702,p17,3,1,4558.926033097982,80.0,0
2024,2571,12209,46.402,-119.374,p2,3,1,997.0629985137956,150.0,0
2024,6448,19117,45.915,-108.25,p20,3,1,2621.2172658440422,80.0,0
2024,17209,34299,41.81,-110.123,p21,4,1,1387.431671026059,92.0,0
2024,12218,27880,43.928,-104.316,p23,4,1,6610.005330806842,0.1082518260575398,0
2024,31287,52917,37.042,-109.397,p25,6,1,9706.418830448572,1706.3000000000002,0
2024,22430,40761,40.197,-109.475,p26,5,1,9845.12119820366,57.59999999999991,0
2024,36357,59722,34.735,-113.656,p27,6,1,3204.978219070488,758.955289978863,1
2024,38238,62379,34.001999999999995,-113.872,p28,6,1,1103.4691319312185,1411.0654439622544,1
2024,41906,67692,32.511,-114.419,p28,7,1,21504.362873535043,3198.04076923077,1
2024,41910,67696,32.586,-113.914,p28,7,2,30408.69178693542,3126.61692307692,1
2024,41655,67311,32.589,-114.57,p28,7,3,37706.66538427725,1280.55615384615,1
2024,42159,68073,32.431999999999995,-114.268,p28,7,4,38341.063354169935,1900.48864543713,1
2024,33530,55954,36.223,-109.646,p29,6,1,1359.0199170283956,8.300000000000182,0
2024,2391,11831,46.544,-119.104,p3,3,1,2424.219490924944,19.199999999999818,0
2024,44146,71139,32.099000000000004,-110.81,p30,6,1,1571.6761117400213,128.44000000000005,0
2024,45599,73450,31.923,-106.786,p31,7,1,9414.943366517493,1829.0378771074295,1
2024,25383,44596,39.619,-104.335,p33,5,1,4095.333542761631,382.6999999999998,1
2024,31037,52562,37.441,-106.003,p34,5,1,1165.754674214778,1086.5,1
2024,27909,48018,38.759,-103.943,p34,5,2,6230.463320498731,6.699999999999818,0
2024,6639,19412,44.18899999999999,-121.191,p5,4,1,7966.665690031412,641.3000000000002,0
2024,46051,74214,31.769,-106.252,p59,7,1,11021.772580640292,74.38245804801227,0
2024,11516,27003,42.077,-121.699,p6,4,1,6484.197259662879,84.39999999999986,0
2024,7792,21335,44.264,-117.582,p7,3,1,4545.954018683905,2.6302738268757366,1
2024,12437,28164,42.31,-118.571,p7,4,1,1855.8987812347204,264.0999999999999,0
2024,17140,34226,40.365,-120.549,p8,5,1,3962.8952077144286,37.34335017967783,1
2024,18851,36336,41.885,-89.85700000000001,p80,3,18,40252.40588918568,9.0,0
2024,29654,50558,36.094,-120.106,p9,6,1,7561.286457201259,2525.57139375,0
2024,31498,53216,35.379,-120.129,p9,6,1,15234.556548827522,1280.34725625,0
2024,29152,49797,36.26,-120.305,p9,6,1,16632.579278531695,114.55519615384605,0
2024,29401,50177,36.165,-120.271,p9,6,2,20279.741465094387,1999.4169230769241,1
2026,1003,8784,47.13,-120.51,p1,3,1,5662.650344010896,15.0,0
2026,33772,56268,34.901,-118.318,p10,6,1,3498.713204010492,2324.646084375,0
2026,31778,53601,35.406,-119.448,p10,6,1,4004.9788897441376,2214.743259375,0
2026,35533,58575,34.894,-114.643,p10,6,1,4023.676633642185,2106.578390625,0
2026,34642,57410,34.659,-117.968,p10,6,1,4038.762729821812,1892.1489624116364,1
2026,34061,56646,34.759,-118.545,p10,6,7,22996.243665644142,21.0,0
2026,41144,66547,32.704,-115.125,p10,7,1,4192.343346306519,909.564615384615,0
2026,41146,66549,32.744,-114.873,p10,7,2,5936.406118444633,1580.89461538462,0
2026,40889,66168,32.821,-115.025,p10,7,3,12943.056893811929,1481.135384615389,0
2026,40617,65781,32.777,-115.935,p10,7,4,22151.425927789965,1465.6,0
2026,50755,85807,28.392,-82.251,p101,5,12,38317.706447198696,25.0,0
2026,39049,63496,33.251999999999995,-116.733,p11,6,1,5548.73594315184,716.37937734375,0
2026,40879,66158,32.617,-116.286,p11,6,1,31876.9879847924,49.89908419471101,0
2026,40880,66159,32.638000000000005,-116.16,p11,6,2,38561.12672956741,220.384615384615,0
2026,40611,65773,32.607,-116.942,p11,6,3,42790.13974432775,102.455634375,0
2026,40878,66157,32.596,-116.412,p11,6,3,52334.51179805403,81.650519471154,0
2026,39598,64260,33.143,-116.17,p11,6,4,61226.68874174034,2.474517987889044,1
2026,28650,49078,37.36,-114.911,p12,6,1,1156.0733544655063,1526.6605364015093,1
2026,31252,52876,36.36,-114.908,p13,6,1,2338.8171989892207,1495.627790625,0
2026,30981,52493,36.397,-115.334,p13,6,1,3749.270555481093,1636.5587857985236,1
2026,32067,54009,35.931999999999995,-115.753,p13,6,20,104848.59785039046,10.0,0
2026,10206,25141,43.442,-116.356,p15,4,1,1040.8784565595813,200.0,0
2026,15144,31618,42.145,-113.356,p16,4,1,993.8409668001392,40.0,0
2026,6903,19848,45.292,-112.702,p17,3,1,4558.926033097982,80.0,0
2026,2571,12209,46.402,-119.374,p2,3,1,997.0629985137956,150.0,0
2026,6448,19117,45.915,-108.25,p20,3,1,2621.2172658440422,80.0,0
2026,17209,34299,41.81,-110.123,p21,4,1,1387.431671026059,92.0,0
2026,12218,27880,43.928,-104.316,p23,4,1,6610.005330806842,0.1082518260575398,0
2026,31287,52917,37.042,-109.397,p25,6,1,9706.418830448572,1824.8234823090622,1
2026,22430,40761,40.197,-109.475,p26,5,1,9845.12119820366,57.59999999999991,0
2026,36357,59722,34.735,-113.656,p27,6,1,3204.978219070488,816.1694313074399,1
2026,38238,62379,34.001999999999995,-113.872,p28,6,1,1103.4691319312185,1745.0880808239203,1
2026,41906,67692,32.511,-114.419,p28,7,1,21504.362873535043,3198.04076923077,0
2026,41910,67696,32.586,-113.914,p28,7,2,30408.69178693542,3126.61692307692,0
2026,41655,67311,32.589,-114.57,p28,7,3,37706.66538427725,1280.55615384615,0
2026,42159,68073,32.431999999999995,-114.268,p28,7,4,38341.063354169935,1900.48864543713,0
