"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"battery_2","p11","fall","4","2032",173.562334920876
"battery_2","p11","fall","4","2034",173.562334920876
"battery_2","p11","wint","2","2044",297.693538856915
"battery_2","p11","wint","4","2024",170.39708554457
"battery_2","p11","wint","4","2026",173.562334920876
"battery_2","p11","wint","4","2028",173.562334920876
"battery_2","p11","wint","4","2040",176.569669808623
"battery_2","p11","wint","4","2042",173.404420432317
"battery_2","p11","wint","4","2046",319.624826752805
"battery_2","p11","wint","6","2030",173.562334920876
"battery_2","p11","wint","6","2032",173.562334920876
"battery_2","p11","wint","6","2034",173.562334920876
"battery_2","p11","wint","6","2036",173.562334920876
"battery_2","p11","wint","6","2038",280.841430353193
"battery_2","p11","wint","6","2048",319.624826752805
"battery_2","p11","wint","6","2050",319.624826752805
"battery_2","p11","spri","4","2024",170.39708554457
"battery_2","p11","spri","4","2026",173.562334920876
"battery_2","p11","spri","4","2028",173.562334920876
"battery_2","p11","spri","4","2030",173.562334920876
"battery_2","p11","spri","4","2044",297.693538856915
"battery_2","p11","spri","4","2048",124.289118424598
"battery_2","p11","spri","4","2050",319.624826752805
"battery_2","p11","spri","6","2032",173.562334920876
"battery_2","p11","spri","6","2034",173.562334920876
"battery_2","p11","spri","6","2036",173.562334920876
"battery_2","p11","spri","6","2038",280.841430353193
"battery_2","p11","spri","6","2040",176.569669808623
"battery_2","p11","spri","6","2042",173.404420432317
"battery_2","p11","spri","6","2046",319.624826752805
"battery_2","p11","spri","6","2048",195.335708328207
"battery_2","p12","summ","2","2026",0.299999999999997
"battery_2","p12","summ","4","2022",100
"battery_2","p12","summ","4","2024",100
"battery_2","p12","summ","4","2026",99.7
"battery_2","p12","summ","4","2028",100
"battery_2","p12","summ","4","2030",100
"battery_2","p12","summ","4","2032",100
"battery_2","p12","summ","4","2034",100
"battery_2","p12","summ","4","2036",100
"battery_2","p12","summ","4","2044",79.6023293752735
"battery_2","p12","summ","4","2046",350.889036888583
"battery_2","p12","summ","4","2048",643.81740192821
"battery_2","p12","summ","4","2050",643.81740192821
"battery_2","p12","fall","2","2034",3.50586546159406
"battery_2","p12","fall","2","2036",100
"battery_2","p12","fall","2","2044",79.6023293752735
"battery_2","p12","fall","2","2046",350.889036888583
"battery_2","p12","fall","2","2048",643.81740192821
"battery_2","p12","fall","2","2050",643.81740192821
"battery_2","p12","fall","4","2022",100
"battery_2","p12","fall","4","2024",100
"battery_2","p12","fall","4","2026",100
"battery_2","p12","fall","4","2028",100
"battery_2","p12","fall","4","2030",100
"battery_2","p12","fall","4","2032",100
"battery_2","p12","fall","4","2034",96.4941345384059
"battery_2","p12","wint","4","2022",100
"battery_2","p12","wint","4","2024",100
"battery_2","p12","wint","4","2026",100
"battery_2","p12","wint","4","2028",100
"battery_2","p12","wint","4","2030",100
"battery_2","p12","wint","4","2032",100
"battery_2","p12","wint","4","2034",100
"battery_2","p12","wint","4","2036",100
"battery_2","p12","wint","4","2044",79.6023293752735
"battery_2","p12","wint","4","2046",350.889036888583
"battery_2","p12","wint","4","2048",643.81740192821
"battery_2","p12","wint","4","2050",643.81740192821
"battery_2","p12","spri","4","2022",100
"battery_2","p12","spri","4","2024",100
"battery_2","p12","spri","4","2026",100
"battery_2","p12","spri","4","2028",100
"battery_2","p12","spri","4","2030",100
"battery_2","p12","spri","4","2032",100
"battery_2","p12","spri","4","2034",100
"battery_2","p12","spri","4","2036",100
"battery_2","p12","spri","4","2044",79.6023293752735
"battery_2","p12","spri","4","2046",350.889036888583
"battery_2","p12","spri","4","2048",643.81740192821
"battery_2","p12","spri","4","2050",643.81740192821
"battery_2","p13","summ","2","2026",100
"battery_2","p13","summ","2","2030",99.14
"battery_2","p13","summ","2","2032",99.09
"battery_2","p13","summ","2","2038",263.731016203165
"battery_2","p13","summ","2","2040",164.024041203165
"battery_2","p13","summ","2","2044",96.3043528793639
"battery_2","p13","summ","2","2046",96.9303656255631
"battery_2","p13","summ","2","2048",295.955340625563
"battery_2","p13","summ","4","2022",100
"battery_2","p13","summ","4","2024",100
"battery_2","p13","summ","4","2028",100
"battery_2","p13","summ","4","2030",0.859999999999999
"battery_2","p13","summ","4","2032",0.909999999999997
"battery_2","p13","summ","4","2034",100
"battery_2","p13","summ","4","2036",100
"battery_2","p13","summ","4","2040",99.7069750000001
"battery_2","p13","summ","4","2042",263.731016203165
"battery_2","p13","summ","4","2044",388.444333948527
"battery_2","p13","summ","4","2046",582.577813419315
"battery_2","p13","summ","4","2048",383.552838419315
"battery_2","p13","summ","4","2050",918.696559494869
"battery_2","p13","fall","2","2034",100
"battery_2","p13","fall","2","2036",100
"battery_2","p13","fall","2","2038",263.731016203165
"battery_2","p13","fall","2","2040",263.731016203165
"battery_2","p13","fall","2","2042",196.617916203165
"battery_2","p13","fall","2","2044",484.748686827891
"battery_2","p13","fall","2","2046",679.508179044878
"battery_2","p13","fall","2","2048",679.508179044878
"battery_2","p13","fall","2","2050",918.696559494869
"battery_2","p13","fall","4","2022",100
"battery_2","p13","fall","4","2024",100
"battery_2","p13","fall","4","2026",100
"battery_2","p13","fall","4","2028",100
"battery_2","p13","fall","4","2030",100
"battery_2","p13","fall","4","2032",100
"battery_2","p13","fall","4","2042",67.1131000000001
"battery_2","p13","wint","4","2022",100
"battery_2","p13","wint","4","2024",100
"battery_2","p13","wint","4","2026",100
"battery_2","p13","wint","4","2028",100
"battery_2","p13","wint","4","2030",100
"battery_2","p13","wint","4","2032",100
"battery_2","p13","wint","4","2034",100
"battery_2","p13","wint","4","2036",100
"battery_2","p13","wint","4","2038",263.731016203165
"battery_2","p13","wint","4","2040",263.731016203165
"battery_2","p13","wint","4","2042",263.731016203165
"battery_2","p13","wint","4","2044",484.748686827891
"battery_2","p13","wint","4","2046",679.508179044878
"battery_2","p13","wint","4","2048",679.508179044878
"battery_2","p13","wint","4","2050",918.696559494869
"battery_2","p13","spri","4","2022",100
"battery_2","p13","spri","4","2024",100
"battery_2","p13","spri","4","2026",100
"battery_2","p13","spri","4","2028",100
"battery_2","p13","spri","4","2030",100
"battery_2","p13","spri","4","2032",100
"battery_2","p13","spri","4","2034",100
"battery_2","p13","spri","4","2036",100
"battery_2","p13","spri","4","2038",263.731016203165
"battery_2","p13","spri","4","2040",263.731016203165
"battery_2","p13","spri","4","2042",263.731016203165
"battery_2","p13","spri","4","2044",484.748686827891
"battery_2","p13","spri","4","2046",679.508179044878
"battery_2","p13","spri","4","2048",679.508179044878
"battery_2","p13","spri","4","2050",918.696559494869
"battery_2","p18","summ","4","2022",200
"battery_2","p18","summ","4","2024",200
"battery_2","p18","summ","4","2026",200
"battery_2","p18","summ","4","2028",200
"battery_2","p18","summ","4","2030",200
"battery_2","p18","summ","4","2032",200
"battery_2","p18","summ","4","2034",200
"battery_2","p18","summ","4","2036",200
"battery_2","p18","fall","2","2036",199.08
"battery_2","p18","fall","4","2022",200
"battery_2","p18","fall","4","2024",200
"battery_2","p18","fall","4","2026",200
"battery_2","p18","fall","4","2028",200
"battery_2","p18","fall","4","2030",200
"battery_2","p18","fall","4","2032",200
"battery_2","p18","fall","4","2034",200
"battery_2","p18","fall","6","2036",0.920000000000016
"battery_2","p18","wint","4","2022",200
"battery_2","p18","wint","4","2024",200
"battery_2","p18","wint","4","2026",200
"battery_2","p18","wint","4","2028",200
"battery_2","p18","wint","4","2030",200
"battery_2","p18","wint","4","2032",200
"battery_2","p18","wint","4","2034",200
"battery_2","p18","wint","4","2036",200
"battery_2","p18","spri","4","2022",200
"battery_2","p18","spri","4","2024",200
"battery_2","p18","spri","4","2026",200
"battery_2","p18","spri","4","2028",200
"battery_2","p18","spri","4","2030",200
"battery_2","p18","spri","4","2032",200
"battery_2","p18","spri","4","2034",200
"battery_2","p18","spri","4","2036",200
"battery_2","p21","summ","4","2046",32.7212381835921
"battery_2","p21","summ","4","2048",32.7212381835921
"battery_2","p21","summ","4","2050",32.7212381835921
"battery_2","p21","fall","2","2046",32.7212381835921
"battery_2","p21","fall","2","2048",32.7212381835921
"battery_2","p21","fall","2","2050",32.7212381835921
"battery_2","p21","wint","4","2046",32.7212381835921
"battery_2","p21","wint","4","2048",32.7212381835921
"battery_2","p21","wint","4","2050",32.7212381835921
"battery_2","p21","spri","4","2046",32.7212381835921
"battery_2","p21","spri","4","2048",32.7212381835921
"battery_2","p21","spri","4","2050",32.7212381835921
"battery_2","p23","summ","2","2034",0.00354156197822078
"battery_2","p23","summ","2","2036",3.84815546879407
"battery_2","p23","summ","2","2038",3.84461390681585
"battery_2","p23","summ","2","2040",3.84461390681585
"battery_2","p23","summ","2","2042",3.84461390681585
"battery_2","p23","summ","2","2044",3.84461390681585
"battery_2","p23","summ","2","2046",3.84461390681585
"battery_2","p23","summ","2","2048",3.84461390681585
"battery_2","p23","summ","2","2050",3.84461390681585
"battery_2","p23","summ","4","2022",0.00354156197822078
"battery_2","p23","summ","4","2024",0.00354156197822078
"battery_2","p23","summ","4","2026",0.00354156197822078
"battery_2","p23","summ","4","2028",0.00354156197822078
"battery_2","p23","summ","4","2030",0.00354156197822078
