"Dim1","Dim2","Val"
"p4","2047",0.1435
"p4","2048",0.1435
"p4","2049",0.1435
"p4","2050",0.1435
"p5","2020",0.1435
"p5","2021",0.1435
"p5","2022",0.1435
"p5","2023",0.1435
"p5","2024",0.1435
"p5","2025",0.1435
"p5","2026",0.1435
"p5","2027",0.1435
"p5","2028",0.1435
"p5","2029",0.1435
"p5","2030",0.1435
"p5","2031",0.1435
"p5","2032",0.1435
"p5","2033",0.1435
"p5","2034",0.1435
"p5","2035",0.1435
"p5","2036",0.1435
"p5","2037",0.1435
"p5","2038",0.1435
"p5","2039",0.1435
"p5","2040",0.1435
"p5","2041",0.1435
"p5","2042",0.1435
"p5","2043",0.1435
"p5","2044",0.1435
"p5","2045",0.1435
"p5","2046",0.1435
"p5","2047",0.1435
"p5","2048",0.1435
"p5","2049",0.1435
"p5","2050",0.1435
"p6","2020",0.1435
"p6","2021",0.1435
"p6","2022",0.1435
"p6","2023",0.1435
"p6","2024",0.1435
"p6","2025",0.1435
"p6","2026",0.1435
"p6","2027",0.1435
"p6","2028",0.1435
"p6","2029",0.1435
"p6","2030",0.1435
"p6","2031",0.1435
"p6","2032",0.1435
"p6","2033",0.1435
"p6","2034",0.1435
"p6","2035",0.1435
"p6","2036",0.1435
"p6","2037",0.1435
"p6","2038",0.1435
"p6","2039",0.1435
"p6","2040",0.1435
"p6","2041",0.1435
"p6","2042",0.1435
"p6","2043",0.1435
"p6","2044",0.1435
"p6","2045",0.1435
"p6","2046",0.1435
"p6","2047",0.1435
"p6","2048",0.1435
"p6","2049",0.1435
"p6","2050",0.1435
"p7","2020",0.1435
"p7","2021",0.1435
"p7","2022",0.1435
"p7","2023",0.1435
"p7","2024",0.1435
"p7","2025",0.1435
"p7","2026",0.1435
"p7","2027",0.1435
"p7","2028",0.1435
"p7","2029",0.1435
"p7","2030",0.1435
"p7","2031",0.1435
"p7","2032",0.1435
"p7","2033",0.1435
"p7","2034",0.1435
"p7","2035",0.1435
"p7","2036",0.1435
"p7","2037",0.1435
"p7","2038",0.1435
"p7","2039",0.1435
"p7","2040",0.1435
"p7","2041",0.1435
"p7","2042",0.1435
"p7","2043",0.1435
"p7","2044",0.1435
"p7","2045",0.1435
"p7","2046",0.1435
"p7","2047",0.1435
"p7","2048",0.1435
"p7","2049",0.1435
"p7","2050",0.1435
"p8","2020",0.1435
"p8","2021",0.1435
"p8","2022",0.1435
"p8","2023",0.1435
"p8","2024",0.1435
"p8","2025",0.1435
"p8","2026",0.1435
"p8","2027",0.1435
"p8","2028",0.1435
"p8","2029",0.1435
"p8","2030",0.1435
"p8","2031",0.1435
"p8","2032",0.1435
"p8","2033",0.1435
"p8","2034",0.1435
"p8","2035",0.1435
"p8","2036",0.1435
"p8","2037",0.1435
"p8","2038",0.1435
"p8","2039",0.1435
"p8","2040",0.1435
"p8","2041",0.1435
"p8","2042",0.1435
"p8","2043",0.1435
"p8","2044",0.1435
"p8","2045",0.1435
"p8","2046",0.1435
"p8","2047",0.1435
"p8","2048",0.1435
"p8","2049",0.1435
"p8","2050",0.1435
"p9","2020",0.182
"p9","2021",0.182
"p9","2022",0.182
"p9","2023",0.182
"p9","2024",0.182
"p9","2025",0.182
"p9","2026",0.182
"p9","2027",0.182
"p9","2028",0.182
"p9","2029",0.182
"p9","2030",0.182
"p9","2031",0.182
"p9","2032",0.182
"p9","2033",0.182
"p9","2034",0.182
"p9","2035",0.182
"p9","2036",0.182
"p9","2037",0.182
"p9","2038",0.182
"p9","2039",0.182
"p9","2040",0.182
"p9","2041",0.182
"p9","2042",0.182
"p9","2043",0.182
"p9","2044",0.182
"p9","2045",0.182
"p9","2046",0.182
"p9","2047",0.182
"p9","2048",0.182
"p9","2049",0.182
"p9","2050",0.182
"p10","2020",0.182
"p10","2021",0.182
"p10","2022",0.182
"p10","2023",0.182
"p10","2024",0.182
"p10","2025",0.182
"p10","2026",0.182
"p10","2027",0.182
"p10","2028",0.182
"p10","2029",0.182
"p10","2030",0.182
"p10","2031",0.182
"p10","2032",0.182
"p10","2033",0.182
"p10","2034",0.182
"p10","2035",0.182
"p10","2036",0.182
"p10","2037",0.182
"p10","2038",0.182
"p10","2039",0.182
"p10","2040",0.182
"p10","2041",0.182
"p10","2042",0.182
"p10","2043",0.182
"p10","2044",0.182
"p10","2045",0.182
