year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,supply_curve_cost_per_mw,built_capacity,investment_bool
2009,42360,62088,35.213,-102.2,s150,1,1,3977.875157577991,79.5,1
2009,41195,60577,35.658,-101.029,s150,1,3,64162.884604379135,80.0,1
2009,41196,60578,35.663000000000004,-100.895,s150,1,4,76707.27457638235,160.839,1
2009,41478,60953,35.538000000000004,-101.557,s150,2,2,47507.11294622331,10.0,1
2009,44093,64366,34.61,-102.412,s150,3,1,27697.339384629457,114.0,1
2009,38876,57532,36.415,-101.764,s150,3,2,53098.34041460134,10.0,1
2009,40341,59431,35.918,-101.858,s150,3,3,70106.38017099805,58.3,1
2009,40618,59808,35.801,-102.253,s150,3,4,104814.60200271332,20.0,1
2009,44372,64746,34.511,-102.403,s150,4,1,21863.30598166147,79.80000000000001,1
2009,44375,64749,34.531,-102.008,s150,4,2,57858.77137094278,20.0,1
2009,38567,57143,36.453,-102.993,s150,4,3,78176.76411022256,13.0,1
2009,44377,64751,34.543,-101.744,s150,4,4,99076.51593761006,0.16100000000000136,1
2009,40645,59835,35.926,-98.619,s153,1,1,35490.556364784265,24.48490000000001,1
2009,40361,59451,36.012,-99.163,s153,1,5,79526.45010430712,76.7151,1
2009,40081,59072,36.113,-99.032,s153,2,1,11416.52428869296,123.0,1
2009,39791,58694,36.218,-98.766,s153,2,4,96012.47596712149,25.5,1
2009,38592,57168,36.59,-99.598,s153,4,1,26416.1514614797,179.78111762695312,1
2009,39789,58692,36.212,-99.036,s153,4,1,33807.76872051046,60.21888237304688,1
2009,41791,61353,35.527,-98.872,s153,4,5,110009.64520826517,106.5,1
2009,41204,60586,35.699,-99.821,s153,5,3,97933.7581468336,25.5,1
2009,40637,59827,35.899,-99.697,s153,5,4,117398.24456692128,25.5,1
2009,41208,60590,35.714,-99.284,s153,6,1,33766.02915503096,18.900000000000006,1
2009,43842,64015,34.844,-98.579,s154,1,1,75984.01882140934,151.0,1
2009,43841,64014,34.841,-98.712,s154,1,3,146852.0491765872,74.3,1
2009,42981,62872,35.13,-98.989,s154,3,1,21417.036241488488,99.0,1
2009,45241,65925,34.371,-97.243,s154,5,2,69542.46270772057,40.5,1
2009,44950,65529,34.431,-99.356,s154,6,3,67898.61156474368,98.9,1
2009,4452,14480,45.615,-120.515,s16,6,1,6773.068549491021,221.0,1
2009,4690,14860,45.521,-120.475,s16,6,2,35094.15020260241,125.4,1
2009,4921,15239,45.402,-120.586,s16,6,4,55258.02373423616,100.8,1
2009,4213,14099,45.685,-120.707,s16,7,2,35326.63014047111,166.64320000000004,1
2009,4688,14858,45.471,-120.777,s16,7,3,77123.15889208725,150.0768,1
2009,4450,14478,45.565,-120.818,s16,7,3,84922.49301279019,141.78000000000003,1
2009,4927,15245,45.549,-119.677,s16,8,1,-1446.5101322423652,305.7912,1
2009,4465,14493,45.927,-118.531,s16,8,1,10825.346963739745,21.908799999999985,1
2009,5152,15618,45.283,-120.697,s16,8,2,45011.40260454092,161.0,1
2009,5621,16374,44.993,-121.217,s16,8,3,95370.25161186625,103.8,1
2009,5155,15621,45.357,-120.244,s16,8,4,132825.3083639247,98.3,1
2009,4458,14486,45.762,-119.602,s16,9,1,13564.398593009695,14.899999999999977,1
2009,4687,14857,45.446000000000005,-120.929,s16,9,2,58585.59203534476,98.7,1
2009,4463,14491,45.881,-118.838,s16,9,3,82890.16906396276,19.80000000000001,1
2009,6115,17135,44.83,-120.986,s16,10,1,27407.43078768897,35.0,1
2009,4447,14475,45.489,-121.272,s16,10,5,225875.02880911453,6.599999999999994,1
2009,53039,78804,30.841,-102.34,s163,1,3,39080.62666447568,150.0,1
2009,52852,78425,30.947,-102.223,s163,3,1,-1488.7920305417956,82.5,1
2009,52850,78423,30.934,-102.474,s163,4,2,18603.80458498004,82.0,1
2009,53035,78800,30.813,-102.842,s163,5,1,2873.026129937025,167.7,1
2009,53415,79568,30.668000000000003,-101.823,s163,7,2,29945.06619768792,78.0,1
2009,52459,77645,30.988000000000003,-104.752,s163,8,3,93262.75930933036,1.3000000000000114,1
2009,52294,77285,31.245,-102.248,s164,2,3,16956.134678648046,209.2473,1
2009,50746,74253,32.086,-101.295,s164,3,2,65981.22628962791,58.8,1
2009,50958,74633,31.987,-101.288,s164,4,2,7217.187965997971,90.0,1
2009,50745,74252,32.081,-101.423,s164,4,3,33100.31802232899,237.3381,1
2009,51161,75013,31.888,-101.281,s164,4,3,51678.21308899808,20.661900000000003,1
2009,52295,77286,31.251,-102.122,s164,5,1,9930.00411867674,91.57499999999999,1
2009,50956,74631,31.976,-101.543,s164,5,2,83268.29885067951,120.0,1
2009,50733,74240,32.003,-102.952,s164,6,1,4455.195730025349,75.92500000000001,1
2009,50041,73100,32.3,-102.98,s164,6,2,36147.93821752933,59.39999999999998,1
2009,49809,72725,32.434,-102.349,s164,6,5,165653.3518860365,0.5999999999999943,1
2009,51542,75762,31.621,-102.661,s164,7,2,29819.473816233905,68.7527,1
2009,46582,67796,33.783,-101.028,s165,1,1,12115.936574326604,150.0,1
2009,50063,73122,32.428000000000004,-100.163,s165,1,3,24226.054136491573,170.2,1
2009,50300,73502,32.329,-100.158,s165,1,5,56178.18839406787,232.5,1
2009,50062,73121,32.424,-100.291,s165,2,1,11718.328068024904,152.0,1
2009,50298,73500,32.32,-100.414,s165,2,3,26227.79872962265,135.0,1
2009,50297,73499,32.315,-100.542,s165,2,5,56877.47276934555,298.0,1
