"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"battery_2","new7","p11","2024","IN",213043.094103987
"battery_2","new7","p11","2024","out",180631.676088789
"battery_2","new7","p11","2026","IN",167487.332812157
"battery_2","new7","p11","2026","out",142086.756146542
"battery_2","new7","p11","2028","IN",155090.210631726
"battery_2","new7","p11","2028","out",131590.772011099
"battery_2","new7","p11","2030","IN",198144.625271801
"battery_2","new7","p11","2030","out",168349.278221772
"battery_2","new7","p11","2032","IN",206878.778245585
"battery_2","new7","p11","2032","out",175846.961508747
"battery_2","new7","p11","2034","IN",298977.72858379
"battery_2","new7","p11","2034","out",254056.905757741
"battery_2","new7","p11","2036","IN",342130.878145987
"battery_2","new7","p11","2036","out",290673.627241429
"battery_2","new7","p11","2038","IN",307957.669684018
"battery_2","new7","p11","2038","out",261626.533801585
"battery_2","new9","p9","2026","IN",241990.384249106
"battery_2","new9","p9","2026","out",202153.834572473
"battery_2","new9","p9","2028","IN",288472.941701101
"battery_2","new9","p9","2028","out",239789.209060737
"battery_2","new9","p9","2030","IN",424082.326016913
"battery_2","new9","p9","2030","out",355552.865488048
"battery_2","new9","p9","2032","IN",672182.308345391
"battery_2","new9","p9","2032","out",567720.051737029
"battery_2","new9","p9","2034","IN",464854.881147389
"battery_2","new9","p9","2034","out",392085.867235444
"battery_2","new9","p9","2036","IN",700699.701410776
"battery_2","new9","p9","2036","out",593597.062991928
"battery_2","new9","p9","2038","IN",635421.182870325
"battery_2","new9","p9","2038","out",537868.133322132
"battery_2","new9","p9","2040","IN",788755.90387756
"battery_2","new9","p9","2040","out",669847.163450813
"battery_2","new9","p10","2026","IN",125683.178508261
"battery_2","new9","p10","2026","out",105360.543808904
"battery_2","new9","p10","2028","IN",132127.269138087
"battery_2","new9","p10","2028","out",111578.818692161
"battery_2","new9","p10","2030","IN",163736.712512737
"battery_2","new9","p10","2030","out",139176.205635827
"battery_2","new9","p10","2032","IN",249232.820641149
"battery_2","new9","p10","2032","out",211791.59048878
"battery_2","new9","p10","2034","IN",233167.911438465
"battery_2","new9","p10","2034","out",197878.255619699
"battery_2","new9","p10","2036","IN",272621.567291855
"battery_2","new9","p10","2036","out",231726.917117917
"battery_2","new9","p10","2038","IN",245371.085660459
"battery_2","new9","p10","2038","out",208548.7514802
"battery_2","new9","p10","2040","IN",226788.452290067
"battery_2","new9","p10","2040","out",192636.683801564
"battery_2","new9","p11","2026","IN",2515.69729827587
"battery_2","new9","p11","2026","out",2130.96932683466
"battery_2","new9","p11","2028","IN",1599.1152726433
"battery_2","new9","p11","2028","out",1342.0657355538
"battery_2","new9","p11","2030","IN",3613.77064849548
"battery_2","new9","p11","2030","out",3070.29189501694
"battery_2","new9","p11","2032","IN",3083.04509510577
"battery_2","new9","p11","2032","out",2620.55281612039
"battery_2","new9","p11","2034","IN",4496.24326156331
"battery_2","new9","p11","2034","out",3820.39361612459
"battery_2","new9","p11","2036","IN",4488.02018152378
"battery_2","new9","p11","2036","out",3812.26077822405
"battery_2","new9","p11","2038","IN",5037.92781836769
"battery_2","new9","p11","2038","out",4279.68226954138
"battery_2","new9","p11","2040","IN",5869.53728728829
"battery_2","new9","p11","2040","out",4988.25712213731
"battery_2","new13","p9","2030","IN",155588.756918914
"battery_2","new13","p9","2030","out",132250.443381077
"battery_2","new13","p9","2032","IN",90795.8605518563
"battery_2","new13","p9","2032","out",76605.2243028728
"battery_2","new13","p9","2034","IN",71754.3146675635
"battery_2","new13","p9","2034","out",60494.5070941956
"battery_2","new13","p9","2036","IN",117119.881849719
"battery_2","new13","p9","2036","out",99086.8590275929
"battery_2","new13","p9","2038","IN",89694.0034706028
"battery_2","new13","p9","2038","out",75459.2116675409
"battery_2","new13","p9","2040","IN",118395.124379806
"battery_2","new13","p9","2040","out",100117.458363432
"battery_2","new13","p9","2042","IN",132421.946281098
"battery_2","new13","p9","2042","out",112514.103855238
"battery_2","new13","p9","2044","IN",111499.614091395
"battery_2","new13","p9","2044","out",94436.4758647375
"battery_2","new13","p10","2030","IN",211005.676999051
"battery_2","new13","p10","2030","out",179354.825449193
"battery_2","new13","p10","2032","IN",196629.580210957
"battery_2","new13","p10","2032","out",167135.143179313
"battery_2","new13","p10","2034","IN",211274.352147468
"battery_2","new13","p10","2034","out",179532.112738146
"battery_2","new13","p10","2036","IN",255241.110318572
"battery_2","new13","p10","2036","out",216953.659888785
"battery_2","new13","p10","2038","IN",206667.096043635
"battery_2","new13","p10","2038","out",175665.747755089
"battery_2","new13","p10","2040","IN",193704.694259037
"battery_2","new13","p10","2040","out",164308.116311468
"battery_2","new13","p10","2042","IN",215339.606206408
"battery_2","new13","p10","2042","out",183038.113693306
"battery_2","new13","p10","2044","IN",169401.167761947
"battery_2","new13","p10","2044","out",143989.708715654
"battery_2","new15","p9","2032","IN",2045391.22265287
"battery_2","new15","p9","2032","out",1733026.38498378
"battery_2","new15","p9","2034","IN",1566261.00377285
"battery_2","new15","p9","2034","out",1321809.78382351
"battery_2","new15","p9","2036","IN",2018071.11418427
"battery_2","new15","p9","2036","out",1710836.23758
"battery_2","new15","p9","2038","IN",2008346.3824118
"battery_2","new15","p9","2038","out",1701909.11613836
"battery_2","new15","p9","2040","IN",2002386.30857433
"battery_2","new15","p9","2040","out",1697733.77150982
"battery_2","new15","p9","2042","IN",1805270.43575742
"battery_2","new15","p9","2042","out",1529258.3867383
"battery_2","new15","p9","2044","IN",1940437.00907653
"battery_2","new15","p9","2044","out",1648200.59736048
"battery_2","new15","p9","2046","IN",1885466.83195803
"battery_2","new15","p9","2046","out",1596373.99233709
"battery_2","new15","p10","2032","IN",1928761.56365529
"battery_2","new15","p10","2032","out",1639178.71298468
"battery_2","new15","p10","2034","IN",2138212.36262832
"battery_2","new15","p10","2034","out",1817480.50823407
"battery_2","new15","p10","2036","IN",2114702.17832828
"battery_2","new15","p10","2036","out",1795356.17810651
"battery_2","new15","p10","2038","IN",2021847.37002141
"battery_2","new15","p10","2038","out",1718570.2645182
"battery_2","new15","p10","2040","IN",2162872.44258894
"battery_2","new15","p10","2040","out",1837678.18719627
"battery_2","new15","p10","2042","IN",1802639.8529558
"battery_2","new15","p10","2042","out",1532237.92431659
"battery_2","new15","p10","2044","IN",1780727.97130503
"battery_2","new15","p10","2044","out",1513611.73941638
"battery_2","new15","p10","2046","IN",2085723.63322726
"battery_2","new15","p10","2046","out",1772605.36695681
"battery_2","new17","p27","2034","IN",44097.5003283332
"battery_2","new17","p27","2034","out",37468.7831036427
"battery_2","new17","p27","2036","IN",32706.2186542803
"battery_2","new17","p27","2036","out",27706.6584509506
"battery_2","new17","p27","2038","IN",29522.5876966369
"battery_2","new17","p27","2038","out",24946.408244743
"battery_2","new17","p27","2040","IN",41980.1947878064
"battery_2","new17","p27","2040","out",35597.5149618912
"battery_2","new17","p27","2042","IN",37714.8561097572
"battery_2","new17","p27","2042","out",32057.3282360663
"battery_2","new17","p27","2044","IN",30337.434977835
"battery_2","new17","p27","2044","out",25685.5681078645
"battery_2","new17","p27","2046","IN",46606.9738382538
"battery_2","new17","p27","2046","out",39506.748665108
"battery_2","new17","p27","2048","IN",37033.1685678565
"battery_2","new17","p27","2048","out",31369.5372921279
"battery_2","new17","p28","2034","IN",365507.175045309
"battery_2","new17","p28","2034","out",310597.509452914
"battery_2","new17","p28","2036","IN",389252.443617614
"battery_2","new17","p28","2036","out",330541.793868433
"battery_2","new17","p28","2038","IN",343916.566847499
"battery_2","new17","p28","2038","out",291800.990635312
"battery_2","new17","p28","2040","IN",387217.443441612
"battery_2","new17","p28","2040","out",329110.535492651
"battery_2","new17","p28","2042","IN",404496.663520995
"battery_2","new17","p28","2042","out",343821.034080988
"battery_2","new17","p28","2044","IN",421401.445545782
"battery_2","new17","p28","2044","out",358191.228713914
"battery_2","new17","p28","2046","IN",386966.91582261
"battery_2","new17","p28","2046","out",328525.366192736
"battery_2","new17","p28","2048","IN",484747.420774795
"battery_2","new17","p28","2048","out",411550.901702667
"battery_2","new17","p29","2034","IN",108678.948079737
"battery_2","new17","p29","2034","out",92182.6092688502
"battery_2","new17","p29","2036","IN",100371.813188073
"battery_2","new17","p29","2036","out",85299.7392831478
"battery_2","new17","p29","2038","IN",93344.2824992884
"battery_2","new17","p29","2038","out",79269.0206233591
"battery_2","new17","p29","2040","IN",114575.105495614
"battery_2","new17","p29","2040","out",97386.4581034217
"battery_2","new17","p29","2042","IN",128775.713114153
