sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,supply_curve_cost_per_mw
17655,34827,42.195,-88.19,p80,3,18,175.8645896484375,43749.01680875044
21318,39388,41.021,-88.189,p80,3,18,2474.722125,43978.608290677
20714,38632,41.182,-87.583,p80,3,19,1808.019225,44232.791765739785
21013,39012,41.085,-87.596,p80,3,19,1013.3288578125,44235.35318115133
17348,34441,42.338,-89.06700000000001,p80,3,19,97.78127783203124,44315.93177896837
17057,34066,42.398,-88.314,p80,3,19,292.3324171875,44343.03727271502
20404,38241,41.365,-89.17399999999999,p80,3,19,643.3595859375,44653.48142779856
19806,37484,41.538,-88.714,p80,3,19,1120.8897703125,45005.09517182336
19485,37099,41.67100000000001,-89.436,p80,3,19,1533.2448234375,45054.9773587836
19489,37103,41.643,-88.84899999999999,p80,3,19,1356.7021593749996,47204.15766591845
17649,34821,42.24100000000001,-89.07799999999999,p80,3,19,45.69177568359375,50039.97990006587
17946,35200,42.15,-89.23700000000001,p80,3,19,432.338765625,50379.08227984476
17945,35199,42.157,-89.385,p80,3,19,453.4765066406249,50675.44013046503
18543,35959,41.963,-89.405,p80,3,19,151.12755351562495,51033.843334705685
17940,35194,42.18899999999999,-90.125,p80,3,19,182.688254296875,51677.80782440163
17355,34448,42.284,-88.03,p80,3,19,79.367818359375,54443.03697417792
17043,34051,42.499,-90.543,p80,3,19,67.27632978515625,55244.258398534286
18246,35581,42.04600000000001,-89.1,p80,3,19,444.086898046875,55502.875414167625
19803,37481,41.56,-89.15299999999999,p80,3,19,566.6227171874998,55598.48870945583
17354,34447,42.292,-88.178,p80,3,19,187.23371484375,55633.957340644105
19494,37108,41.604,-88.116,p80,3,19,100.5703119140625,55719.078173352194
17944,35198,42.164,-89.53299999999999,p80,3,19,215.47205507812487,55821.36437119202
19490,37104,41.635,-88.70299999999999,p80,3,20,852.8305218749998,56286.70936888428
18849,36334,41.897,-90.152,p80,3,20,679.359403125,57857.40577585475
18243,35578,42.067,-89.54299999999999,p80,3,20,183.58934765625,58457.37154854692
19178,36730,41.685,-87.811,p80,3,20,48.6499447265625,60547.39366653373
18539,35955,41.989,-89.995,p80,3,20,821.3034234375,61045.51710514119
19177,36729,41.693000000000005,-87.95700000000001,p80,3,20,99.702425390625,62676.39308567457
19491,37105,41.628,-88.556,p80,3,20,275.5806046875,62704.29784534504
17048,34056,42.469,-89.79899999999999,p80,3,20,692.51437265625,63645.25971756003
18240,35575,42.086000000000006,-89.986,p80,3,20,438.45432890625,67083.72023710057
17641,34813,42.293,-90.264,p80,3,20,68.7542080078125,67653.75959288138
17344,34437,42.365,-89.661,p80,3,20,131.27775205078123,68363.70026990025
17047,34055,42.475,-89.948,p80,3,20,880.7132531249998,68606.3703993577
18244,35579,42.06,-89.395,p80,3,20,196.869392578125,68800.20679836825
18540,35956,41.982,-89.848,p80,3,20,720.75983203125,71896.94231832997
17941,35195,42.183,-89.977,p80,3,20,173.1889318359375,72774.20887225168
19802,37480,41.567,-89.3,p80,3,20,565.90251328125,79782.06444137036
17943,35197,42.17100000000001,-89.681,p80,3,20,291.0888140625,80014.21304517856
17050,34059,42.449,-89.354,p80,3,20,402.8037925781249,81708.28019418781
18241,35576,42.08,-89.838,p80,3,20,232.2210515625,82693.95973551682
18863,36348,41.799,-88.09200000000001,p80,3,20,25.127074072265625,83194.32532502459
17939,35193,42.195,-90.273,p80,3,20,236.516044921875,84798.83137582113
