"Dim1","Dim2","Val"
"p17","2038",11062009.545
"p17","2040",11476567.713
"p17","2042",11880338.675
"p17","2044",12275984.68
"p17","2046",12672227.748
"p17","2048",13073712.829
"p17","2050",13485543.464
"p18","2010",4099262.138
"p18","2012",4230829.365
"p18","2014",4208008.54
"p18","2016",4273069.341
"p18","2018",4410793.153
"p18","2020",4591715.799
"p18","2022",4664666.831
"p18","2024",4776997.027
"p18","2026",4897840.648
"p18","2028",5040720.145
"p18","2030",5204931.544
"p18","2032",5376221.775
"p18","2034",5557389.41
"p18","2036",5762820.744
"p18","2038",5983437.595
"p18","2040",6207135.61
"p18","2042",6425028.493
"p18","2044",6638531.41
"p18","2046",6852361.392
"p18","2048",7069033.477
"p18","2050",7291282.937
"p19","2010",101184.317
"p19","2012",104431.068
"p19","2014",103867.225
"p19","2016",105474.68
"p19","2018",108871.058
"p19","2020",113328.995
"p19","2022",115124.051
"p19","2024",117884.732
"p19","2026",120858.22
"p19","2028",124368.206
"p19","2030",128401.755
"p19","2032",132609.108
"p19","2034",137058.265
"p19","2036",142106.354
"p19","2038",147527.113
"p19","2040",153021.712
"p19","2042",158374.681
"p19","2044",163616.94
"p19","2046",168865.415
"p19","2048",174183.761
"p19","2050",179633.148
"p20","2010",2095881.896
"p20","2012",2163150.285
"p20","2014",2151482.259
"p20","2016",2184747.891
"p20","2018",2255076.343
"p20","2020",2347447.576
"p20","2022",2384606.025
"p20","2024",2441860.361
"p20","2026",2503408.484
"p20","2028",2576129.312
"p20","2030",2659685.306
"p20","2032",2746826.553
"p20","2034",2838983.263
"p20","2036",2943506.975
"p20","2038",3055796.028
"p20","2040",3169644.28
"p20","2042",3280516.721
"p20","2044",3389116.746
"p20","2046",3497834.054
"p20","2048",3607965.481
"p20","2050",3720885.002
"p21","2010",8453443.448
"p21","2012",8724760.522
"p21","2014",8677698.871
"p21","2016",8811866.139
"p21","2018",9096341.99
"p21","2020",9470478.209
"p21","2022",9623058.587
"p21","2024",9859061.298
"p21","2026",10115697.82
"p21","2028",10424174.273
"p21","2030",10782874.111
"p21","2032",11160203.066
"p21","2034",11562172.373
"p21","2036",12017745.37
"p21","2038",12502674.73
"p21","2040",12994004.888
"p21","2042",13468650.519
"p21","2044",13928843.608
"p21","2046",14384128.279
"p21","2048",14838551.935
"p21","2050",15301389.321
"p22","2010",1505839.451
"p22","2012",1554171.555
"p22","2014",1545786.683
"p22","2016",1569687.525
"p22","2018",1620403.109
"p22","2020",1687118.631
"p22","2022",1714377.702
"p22","2024",1756526.446
"p22","2026",1802404.266
"p22","2028",1857608.459
"p22","2030",1921844.323
"p22","2032",1989434.395
"p22","2034",2061427.599
"p22","2036",2142982.694
"p22","2038",2229746.072
"p22","2040",2317635.795
"p22","2042",2402531.417
"p22","2044",2484838.688
"p22","2046",2566273.431
"p22","2048",2647546.697
"p22","2050",2730344.965
"p23","2010",1111526.004
"p23","2012",1147200.663
"p23","2014",1141012.685
"p23","2016",1158654.075
"p23","2018",1196036.591
"p23","2020",1245186.415
"p23","2022",1265109.924
"p23","2024",1295895.004
"p23","2026",1329192.188
"p23","2028",1368944.128
"p23","2030",1414979.169
"p23","2032",1463293.323
"p23","2034",1514728.064
"p23","2036",1573147.018
"p23","2038",1635530.76
"p23","2040",1698894.402
"p23","2042",1760245.402
"p23","2044",1819867.832
"p23","2046",1878999.341
"p23","2048",1938185.647
"p23","2050",1998558.295
"p24","2010",6943316.578
"p24","2012",7166164.052
"p24","2014",7127510.87
"p24","2016",7237710.323
"p24","2018",7471121.68
"p24","2020",7778018.932
"p24","2022",7902655.829
"p24","2024",8095402.836
"p24","2026",8304381.262
"p24","2028",8554680.96
"p24","2030",8845109.814
"p24","2032",9150268.419
"p24","2034",9475202.594
"p24","2036",9843918.475
"p24","2038",10237057.773
"p24","2040",10635868.063
"p24","2042",11021530.597
"p24","2044",11395787.847
"p24","2046",11766429.306
"p24","2048",12136804.6
"p24","2050",12514226.335
"p25","2010",28278134.13
"p25","2012",29185733.216
"p25","2014",29028305.817
"p25","2016",29477118.235
"p25","2018",30432874.507
"p25","2020",31688322.727
"p25","2022",32200383.494
"p25","2024",32988244.744
"p25","2026",33834969.187
"p25","2028",34831605.943
"p25","2030",35978638.131
"p25","2032",37190752.362
"p25","2034",38503837.679
"p25","2036",40036405.06
"p25","2038",41702964.577
"p25","2040",43410982.68
"p25","2042",45085212.07
"p25","2044",46728903.549
"p25","2046",48370643.971
"p25","2048",50022503.745
"p25","2050",51699898.081
"p26","2010",1248329.242
"p26","2012",1288396.534
"p26","2014",1281445.462
"p26","2016",1301258.496
"p26","2018",1343525.912
"p26","2020",1399050.094
"p26","2022",1421726.513
"p26","2024",1456561.048
"p26","2026",1493964.891
"p26","2028",1537930.488
"p26","2030",1588471.796
"p26","2032",1641849.83
"p26","2034",1699669.617
"p26","2036",1767170.682
"p26","2038",1840625.972
"p26","2040",1915967.912
"p26","2042",1989894.938
"p26","2044",2062543.036
"p26","2046",2135190.973
"p26","2048",2208372.058
"p26","2050",2282762.642
"p27","2010",9104963.053
"p27","2012",9397189.077
"p27","2014",9346501.469
"p27","2016",9491009.275
"p27","2018",9796767.448
"p27","2020",10196278.627
"p27","2022",10356304.04
"p27","2024",10604853.283
"p27","2026",10872997.511
"p27","2028",11192330.367
"p27","2030",11561149.029
"p27","2032",11946624.044
"p27","2034",12355362.07
"p27","2036",12821757.464
"p27","2038",13319635.54
"p27","2040",13823059.252
"p27","2042",14309944.616
"p27","2044",14782165.157
"p27","2046",15248664.547
"p27","2048",15712967.642
"p27","2050",16181432.289
"p28","2010",55497820.417
"p28","2012",57279040.1
"p28","2014",56970083.017
"p28","2016",57850908.028
"p28","2018",59713499.393
"p28","2020",62147995.397
"p28","2022",63124634.973
"p28","2024",64643156.033
"p28","2026",66285562.584
"p28","2028",68248180.802
"p28","2030",70519560.147
"p28","2032",72895409.345
"p28","2034",75414311.384
"p28","2036",78284534.504
"p28","2038",81342835.176
"p28","2040",84430269.764
"p28","2042",87411923.246
"p28","2044",90299459.609
"p28","2046",93147329.068
"p28","2048",95976752.478
"p28","2050",98827866.917
"p29","2010",948169.266
"p29","2012",978602.243
"p29","2014",973324.24
"p29","2016",988372.129
"p29","2018",1020277.241
"p29","2020",1061991.376
"p29","2022",1078846.977
"p29","2024",1105037.341
"p29","2026",1133471.883
"p29","2028",1167581.971
"p29","2030",1207153.914
"p29","2032",1248608.272
"p29","2034",1292578.169
"p29","2036",1342626.457
"p29","2038",1395884.741
"p29","2040",1449621.195
"p29","2042",1501516.715
"p29","2044",1551788.427
"p29","2046",1601381.189
"p29","2048",1650651.368
"p29","2050",1700328.498
"p30","2010",11199468.242
"p30","2012",11558920.555
"p30","2014",11496571.172
"p30","2016",11674322.524
"p30","2018",12050314.018
"p30","2020",12541776.448
"p30","2022",12739112.995
"p30","2024",13045903.305
"p30","2026",13377825.596
"p30","2028",13774567.722
"p30","2030",14233802.945
"p30","2032",14714233.751
"p30","2034",15223665.958
"p30","2036",15804193.604
"p30","2038",16422796.885
"p30","2040",17047387.793
"p30","2042",17650687.871
"p30","2044",18235088.617
"p30","2046",18811598.012
"p30","2048",19384498.354
"p30","2050",19961931.526
"p31","2010",16727168.211
"p31","2012",17264031.392
"p31","2014",17170909.701
"p31","2016",17436392.74
"p31","2018",18012224.953
"p31","2020",18766818.863
"p31","2022",19087199.49
"p31","2024",19580112.213
"p31","2026",20123834.533
"p31","2028",20786901.148
"p31","2030",21566613.381
"p31","2032",22396708.341
"p31","2034",23290031.976
"p31","2036",24316219.362
"p31","2038",25412419.294
"p31","2040",26524652.399
"p31","2042",27604190.646
"p31","2044",28655774.841
"p31","2046",29698750.437
