sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,compare,trans_cap_cost
13997,,32.389576,-111.09694,p30,6,,140.48639999999995,0.9999999999999996,6638.7583
14201,,32.077877,-110.77375,p30,6,,81.64799999999997,0.9999999999999996,8217.21
13996,,32.3817,-111.16027,p30,6,,89.16479999999997,0.9999999999999996,8655.669
14197,,32.062412,-110.89993,p30,6,,32.659199999999984,0.9999999999999996,8952.11
14136,,32.21714,-110.866776,p30,6,,42.76799999999999,0.9999999999999996,9546.045
14279,,32.00563,-110.95297,p30,6,,122.08319999999996,0.9999999999999996,10260.57
14138,,32.168156,-110.85678,p30,6,,34.47359999999998,0.9999999999999996,10326.059
14054,,32.258354,-110.940025,p30,6,,76.20479999999998,0.9999999999999996,12447.597
14278,,31.948814,-111.00593,p30,6,,82.94399999999997,0.9999999999999996,13148.71
14004,,32.41301,-110.90686,p30,6,,5.183999999999998,0.9999999999999996,13206.289
14372,,31.84295,-111.04874,p30,6,,3.887999999999999,0.9999999999999996,14405.68
14281,,32.036545000000004,-110.70077,p30,6,,116.38079999999997,0.9999999999999996,14545.131
14198,,32.119164000000005,-110.84681,p30,6,,179.10719999999995,0.9999999999999996,14697.283
14059,,32.330532,-110.76017,p30,6,,1.5551999999999997,0.9999999999999996,15713.89
14195,,32.103621999999994,-110.973045,p30,6,,82.94399999999997,0.9999999999999996,17746.133
14202,,32.134570000000004,-110.72051,p30,6,,5.702399999999998,0.9999999999999996,17772.125
14196,,32.11141,-110.909935,p30,6,,155.77919999999995,0.9999999999999996,18677.232
13998,,32.33276,-111.15006,p30,6,,45.10079999999999,0.9999999999999996,18698.648
14277,,31.997818,-111.01598,p30,6,,26.95679999999999,0.9999999999999996,19312.336
14132,,32.201584000000004,-110.99317,p30,6,,271.3823999999999,0.9999999999999996,19342.17
14129,,32.19376,-111.05636,p30,6,,76.20479999999998,0.9999999999999996,21338.232000000004
14134,,32.152607,-110.9831,p30,6,,419.9039999999999,0.9999999999999996,22842.893
14050,,32.242725,-111.06648,p30,6,,54.69119999999998,0.9999999999999996,23282.06
14371,,31.899801,-110.99588,p30,6,,248.0543999999999,0.9999999999999996,23527.275
14133,,32.20938,-110.92998,p30,6,,151.37279999999996,0.9999999999999996,23608.914
14199,,32.126884000000004,-110.78367,p30,6,,305.8559999999999,0.9999999999999996,24598.857000000004
14141,,32.18357,-110.73041,p30,6,,30.32639999999999,0.9999999999999996,25305.771
14135,,32.160397,-110.91995,p30,6,,301.9679999999999,0.9999999999999996,25942.504
14053,,32.250557,-111.00326,p30,6,,246.49919999999992,0.9999999999999996,31019.793
14131,,32.144783000000004,-111.04624,p30,6,,401.5007999999999,0.9999999999999996,32928.23
14127,,32.12904,-111.172485,p30,6,,40.17599999999999,0.9999999999999996,35662.473
14466,,31.801754,-110.97583,p30,6,,36.54719999999998,0.9999999999999996,36287.7
14193,,32.08795,-111.09923,p30,6,,49.24799999999999,0.9999999999999996,36326.66
13958,,32.461956,-110.916916,p30,6,,42.76799999999999,0.9999999999999996,39189.664
13956,,32.5109,-110.92699,p30,6,,210.21119999999996,0.9999999999999996,40739.348
14194,,32.095802,-111.03614,p30,6,,271.3823999999999,0.9999999999999996,41130.883
14057,,32.26612,-110.87678,p30,6,,277.86239999999987,0.9999999999999996,41600.11
14126,,32.178005,-111.18268,p30,6,,88.90559999999998,0.9999999999999996,41601.668
14051,,32.29952,-111.01336,p30,6,,310.0031999999999,0.9999999999999996,43921.83
14128,,32.185898,-111.11952,p30,6,,309.2255999999999,0.9999999999999996,44569.22
14052,,32.307320000000004,-110.95008,p30,6,,390.6143999999999,0.9999999999999996,44969.473
14130,,32.13693,-111.10937,p30,6,,392.68799999999993,0.9999999999999996,45350.703
14049,,32.291683,-111.07662,p30,6,,150.0767999999999,0.9999999999999996,48293.31
14137,,32.22487,-110.80355,p30,6,,271.3823999999999,0.9999999999999996,49403.945
14139,,32.17588,-110.7936,p30,6,,352.51199999999983,0.9999999999999996,50124.785
14055,,32.315090000000005,-110.88679,p30,6,,281.2319999999999,0.9999999999999996,50978.484
14799,,31.360151,-110.88626,p30,6,,41.47199999999999,0.9999999999999996,52179.37
14465,,31.793928,-111.03867,p30,6,,115.60319999999996,0.9999999999999996,52181.996
14058,,32.273853,-110.813515,p30,6,,442.7135999999998,0.9999999999999996,52917.527
13955,,32.454174,-110.98033,p30,6,,163.03679999999994,0.9999999999999996,53667.6
14002,,32.348473,-111.02347,p30,6,,313.37279999999987,0.9999999999999996,56958.887
14003,,32.35628,-110.96015,p30,6,,282.78719999999987,0.9999999999999996,57695.06
14056,,32.322826,-110.82349,p30,6,,143.07839999999993,0.9999999999999996,60045.81
13999,,32.340633000000004,-111.08677,p30,6,,301.1903999999999,0.9999999999999996,60110.53
14140,,32.232567,-110.74032,p30,6,,133.22879999999995,0.9999999999999996,62484.586
14060,,32.28155,-110.75024,p30,6,,185.84639999999996,0.9999999999999996,65106.652
14000,,32.397420000000004,-111.03359,p30,6,,265.4207999999999,0.9999999999999996,70036.805
14001,,32.40523,-110.97023,p30,6,,403.5743999999999,0.9999999999999996,70603.15
14203,,32.08556,-110.71063,p30,6,,226.5407999999999,0.9999999999999996,73186.75
14798,,31.352362,-110.94874,p30,6,,154.74239999999995,0.9999999999999996,74536.586
14373,,31.850782,-110.985855,p30,6,,209.69279999999995,0.9999999999999996,102276.48
14797,,31.401455,-110.95868,p30,6,,101.08799999999997,0.9999999999999996,150790.12
10650,,36.410168,-105.61313,p31,5,,81.93282526847757,1.1013897662665824,5418.7266
10162,,36.786694,-108.20945,p31,5,,5.424124320909665,1.1013897662665824,5711.5034
11356,,35.553696,-108.66778,p31,5,,7.422485912823753,1.1013897662665824,6489.531999999999
6658,,36.71427,-107.921394,p31,5,,13.417570688566013,1.1013897662665824,7205.4053
11353,,35.54052,-108.800674,p31,5,,15.701412507896396,1.1013897662665824,7640.2295
10219,,36.689377,-108.19194,p31,5,,4.853163866077068,1.1013897662665824,8509.001
10652,,36.361324,-105.60626,p31,5,,69.94265571699304,1.1013897662665824,10463.589
11749,,35.54954,-105.2241,p31,5,,0.8564406822488944,1.1013897662665824,11015.49
10164,,36.731724,-108.26834,p31,5,,23.12389842072015,1.1013897662665824,17231.93
10653,,36.366272,-105.53876,p31,5,,36.25598888186986,1.1013897662665824,17440.754
10651,,36.41512,-105.54558,p31,5,,108.7679666456096,1.1013897662665824,17635.582
10107,,36.860287,-107.94711,p31,5,,3.1402825015792795,1.1013897662665824,20309.965
11880,,35.184406,-107.86057,p31,5,,3.711242956411876,1.1013897662665824,25036.41
10951,,36.027443,-106.10266,p31,5,,43.39299456727732,1.1013897662665824,25139.336
11354,,35.491783,-108.79166,p31,5,,19.69813569172457,1.1013897662665824,27437.064
11357,,35.498383000000004,-108.72526,p31,5,,101.91644118761845,1.1013897662665824,30991.018
10106,,36.854107,-108.01491,p31,5,,38.25435047378395,1.1013897662665824,32867.16
11358,,35.504948,-108.65885,p31,5,,34.25762728995578,1.1013897662665824,38891.938
11995,,35.202583000000004,-106.51986,p31,5,,60.23632798483891,1.1013897662665824,39623.46
10169,,36.74432,-108.13302,p31,5,,58.80892684775742,1.1013897662665824,40757.613
10165,,36.738037,-108.20068,p31,5,,126.75322097283636,1.1013897662665824,49476.535
10172,,36.811623,-107.93853,p31,5,,19.983615919140878,1.1013897662665824,49993.3
10167,,36.79298,-108.14173999999998,p31,5,,141.59819279848386,1.1013897662665824,57738.008
10224,,36.933838,-104.45022,p31,5,,23.12389842072015,1.1013897662665824,62082.52
11984,,35.135567,-107.85226000000002,p31,5,,26.549661149715728,1.1013897662665824,71314.02
10222,,36.7081,-107.98905,p31,5,,127.03870120025267,1.1013897662665824,72730.89
10299,,36.884983,-104.44413,p31,5,,170.7171759949463,1.1013897662665824,81280.734
10171,,36.805443,-108.00628,p31,5,,132.46282552116233,1.1013897662665824,83714.1
12103,,35.153664,-106.51248,p31,5,,193.27011396083384,1.1013897662665824,113979.266
11619,,35.598488,-105.23062,p31,5,,321.4507360707517,1.1013897662665824,125903.71
11487,,35.69052,-105.985825,p31,5,,126.75322097283636,1.1013897662665824,127074.984
11618,,35.64743,-105.237144,p31,5,,64.51853139608338,1.1013897662665824,134620.58
11355,,35.547127,-108.73423,p31,5,,145.88039620972836,1.1013897662665824,152129.42
10952,,36.03265,-106.03552,p31,5,,146.73683689197725,1.1013897662665824,189335.5
11492,,35.69567,-105.919,p31,5,,182.42186531901453,1.1013897662665824,224719.22
11493,,35.646774,-105.91199,p31,5,,130.17898370183195,1.1013897662665824,227970.62
11490,,35.641624,-105.97877,p31,5,,489.0276295641187,1.1013897662665824,251359.12
11080,,35.98379,-106.0284,p31,5,,161.58180871762474,1.1013897662665824,298898.38
11079,,35.978584000000005,-106.09548999999998,p31,5,,154.15932280480098,1.1013897662665824,315186.75
14282,,32.305054,-107.77826,p31,6,,17.02606788526435,0.9804028402699668,437.23062
12102,,35.099277,-106.57132,p31,6,,6.60713082114736,0.9804028402699668,1104.8547
12105,,35.10474,-106.505104,p31,6,,4.065926659167606,0.9804028402699668,1474.6475
12222,,35.05581,-106.49774,p31,6,,50.56996282339711,0.9804028402699668,6441.0740000000005
11486,,35.685333,-106.05264,p31,6,,0.5082408323959507,0.9804028402699668,6510.0396
12220,,35.05035,-106.56391,p31,6,,21.346114960629933,0.9804028402699668,6594.0195
13081,,34.075203,-106.94723,p31,6,,6.0988899887514085,0.9804028402699668,6989.9194
12101,,35.093779999999995,-106.63753,p31,6,,50.31584240719912,0.9804028402699668,7053.4863
14379,,32.35546,-106.688644,p31,6,,9.656575815523064,0.9804028402699668,7466.419
14381,,32.306202,-106.681435,p31,6,,22.616717041619808,0.9804028402699668,9488.68
10163,,36.786694,-108.20945,p31,6,,32.78153368953882,0.9804028402699668,10135.767
12326,,34.892536,-106.67378,p31,6,,4.320047075365581,0.9804028402699668,10436.009
12095,,35.1316,-106.77746,p31,6,,3.557685826771656,0.9804028402699668,11600.732
11889,,35.349304,-106.542076,p31,6,,29.98620911136109,0.9804028402699668,11612.738
14634,,32.027008,-106.44808,p31,6,,62.51362238470194,0.9804028402699668,11678.915
