year,sc_gid,sc_point_gid,latitude,longitude,region,class,bin,trans_cap_cost,built_capacity,investment_bool
2016,1712,,42.188034,-121.784225,p6,4,,2851.4126,1.4816000000000003,0
2016,803,,44.745987,-117.87875,p7,3,,11777.316,2.692731753554502,0
2016,772,,44.79343,-117.89646,p7,3,,11844.818,3.3659146919431278,0
2016,916,,44.22686,-116.97883600000002,p7,3,,102972.23,4.841353554502362,1
2016,9438,,36.1821,-120.31208,p9,6,,12634.098999999998,0.2541543937708564,0
2016,9834,,35.4988,-120.69145,p9,6,,14603.573,9.657866963292548,0
2016,9792,,35.546326,-120.708725,p9,6,,21117.752,97.84944160177976,1
2016,9595,,36.004414000000004,-120.17831,p9,6,,23141.48,1.1985370411568468,1
2018,11835,,33.965022999999995,-117.44759,p10,6,,2607.9307,10.59921713369329,0
2018,10148,,35.315983,-118.96942,p10,6,,2981.9246,10.346854820986309,0
2018,11719,,34.050117,-117.54101,p10,6,,3417.8198,22.20788351821452,0
2018,11721,,34.06122,-117.47704,p10,6,,3648.1838,0.7570869381209493,0
2018,11951,,33.84662,-117.5458,p10,6,,4142.2236,13.122840260763123,0
2018,13461,,32.744026,-114.70852,p10,6,,4473.7935,9.085043257451392,0
2018,10085,,35.42331,-118.93656,p10,6,,5035.5347,0.2523623127069831,0
2018,11730,,34.094326,-117.285034,p10,6,,5761.979,6.813782443088544,0
2018,11604,,34.098194,-117.55581,p10,6,,5860.029,7.570869381209493,0
2018,10922,,34.371902,-118.860855,p10,6,,6504.3164,0.2523623127069831,0
2018,11728,,34.035217,-117.334404,p10,6,,7758.694,130.4713156695103,0
2018,11215,,34.286587,-118.4939,p10,6,,7860.028,35.07836146627065,0
2018,11060,,34.287859999999995,-118.76543999999998,p10,6,,8083.753000000001,2.5236231270698317,0
2018,11718,,33.990902,-117.59013,p10,6,,8347.527,63.10747428128467,1
2018,11858,,34.14852,-116.35859,p10,7,,18401.17,8.397179739507958,0
2018,11856,,34.079227,-116.472916,p10,7,,20456.236,2.583747612156295,0
2018,11857,,34.089787,-116.40877,p10,7,,117431.664,78.14399572525883,0
2018,13042,,32.770965999999994,-117.02311,p11,6,,323.3736,0.9683925773195876,0
2018,13160,,32.674343,-116.99478,p11,6,,5668.8203,18.399458969072164,1
