sc_gid,sc_point_gid,latitude,longitude,region,class,bin,cap_avail,supply_curve_cost_per_mw
13746,27238,44.037,-86.262,s212,7,5,6.5853,1824737.6998822568
11133,23820,44.889,-85.811,s212,7,5,9.8172,2001506.205557884
18234,32562,42.64,-85.882,s212,7,5,6.318,2013084.439891905
11704,24580,44.695,-85.844,s212,7,5,8.675099999999999,2183451.6688517854
15352,29139,43.543,-86.189,s212,8,1,43.7643,346786.5573135591
13437,26859,44.124,-86.094,s212,8,2,65.3427,352436.8090723378
13140,26480,44.211000000000006,-85.926,s212,8,2,31.347,408075.7455998558
14061,27619,43.93,-86.126,s212,8,3,41.2614,426238.3469930879
14379,28001,43.813,-85.839,s212,8,4,43.7643,515104.1817308668
15356,29143,43.501000000000005,-85.586,s212,8,4,11.907,700304.6774782996
14063,27621,43.91,-85.823,s212,8,5,26.4627,725674.6965517895
12848,26099,44.318000000000005,-86.06200000000001,s212,8,5,12.854699999999998,1027307.8725074632
13747,27239,44.027,-86.11,s212,8,5,11.2266,1037770.6904061848
18552,32944,42.522,-85.602,s212,8,5,7.0713,1475714.1856672692
20453,35222,41.961000000000006,-85.993,s213,6,1,17.7633,852200.1061427207
20450,35219,41.99100000000001,-86.434,s213,6,2,6.6825,1017252.0518422634
20769,35599,41.894,-86.449,s213,6,3,7.4601,1239564.4294912922
19823,34461,42.165,-86.109,s213,6,4,7.6545,1845842.321319905
20136,34840,42.078,-86.272,s213,6,5,5.8563,2196344.8113727574
20138,34842,42.058,-85.977,s213,7,1,28.1637,411975.8469841166
20142,34846,42.016000000000005,-85.389,s213,7,1,18.83055706787109,561131.6094101872
20141,34845,42.026,-85.536,s213,7,1,10.2303,611568.2639629466
20775,35605,41.833,-85.568,s213,7,2,28.7469,692618.4548052853
20776,35606,41.822,-85.421,s213,7,2,7.970156762695312,718871.3771800854
21089,35981,41.777,-86.17,s213,7,2,10.448999999999998,761576.5690536285
19190,33706,42.306,-85.339,s213,7,2,20.7279,788987.8577223327
19824,34462,42.155,-85.961,s213,7,3,9.5013,899916.8061961473
20774,35604,41.843,-85.715,s213,7,3,11.8584,905973.2484213267
20456,35225,41.929,-85.552,s213,7,3,16.857638525390627,932319.6941390402
20140,34844,42.037,-85.68299999999999,s213,7,3,8.6508,983287.2910124236
20770,35600,41.88399999999999,-86.302,s213,7,4,10.97388014831543,1012753.7554899936
19826,34464,42.13399999999999,-85.667,s213,7,4,15.1146,1041284.4118781568
21087,35979,41.797,-86.463,s213,7,4,7.703099999999999,1097877.4716510235
19187,33703,42.338,-85.78200000000001,s213,7,4,8.3349,1151691.3598845992
21086,35978,41.807,-86.61,s213,7,5,13.0734,1203125.361739918
20452,35221,41.971,-86.14,s213,7,5,6.050699999999999,1260751.9807636968
18870,33325,42.414,-85.47,s213,7,5,6.1918829406738265,1573169.5716505004
20457,35226,41.919,-85.405,s213,7,5,7.50019485168457,1679257.522911011
20137,34841,42.068000000000005,-86.124,s213,7,5,5.8077,2144442.381375185
20772,35602,41.864,-86.008,s213,7,5,7.508699999999998,2222857.611133172
19828,34466,42.112,-85.37200000000001,s213,7,5,5.5647,2406299.447434314
19508,34086,42.209,-85.355,s213,7,5,5.9778,2571781.018779543
13144,26484,44.168,-85.31700000000001,s214,5,1,74.9169,276366.56679629016
9142,21164,45.524,-85.07,s214,5,2,70.227,366302.6288638856
10281,22687,45.103,-84.678,s214,5,3,17.4717,607535.0410778503
8864,20784,45.621,-85.052,s214,5,4,39.1959,752018.1034487896
13752,27244,43.975,-85.351,s214,6,1,96.6897,98308.01107477868
9994,22306,45.211000000000006,-84.814,s214,6,1,87.69869999999997,144350.7502595451
11716,24592,44.559,-84.00399999999999,s214,6,1,143.613,151628.09887987297
9143,21165,45.513000000000005,-84.914,s214,6,1,97.7346,159170.29590782238
10280,22686,45.114,-84.83200000000001,s214,6,2,89.6913,185032.4883238564
10851,23446,44.92,-84.869,s214,6,2,79.9713,188736.87674326816
9995,22307,45.199,-84.65899999999999,s214,6,2,67.0437,197661.39714403648
10568,23069,44.982,-84.38799999999999,s214,6,2,63.8847,217626.60767498345
11139,23826,44.824,-84.887,s214,6,2,105.0975,224633.8755238217
12570,25730,44.293,-84.367,s214,6,3,109.9089,229849.9204191192
11144,23831,44.765,-84.118,s214,6,3,78.48899999999999,238501.15986239555
12851,26102,44.287,-85.604,s214,6,3,80.7732,243326.6786222876
10565,23066,45.017,-84.85,s214,6,3,68.5989,244227.04307695196
12561,25721,44.394,-85.74,s214,6,4,59.64483647460936,275353.2875070372
12858,26109,44.208,-84.537,s214,6,4,66.1446,282986.4501697193
10850,23445,44.932,-85.023,s214,6,4,32.926500000000004,306549.09382404387
11996,24971,44.475,-84.176,s214,6,4,39.1473,311546.09696264367
12563,25723,44.373000000000005,-85.435,s214,6,4,42.3306,333851.41851181304
11997,24972,44.462,-84.023,s214,6,4,69.7896,342371.0477639628
12282,25351,44.378,-84.195,s214,6,4,47.385,364129.5258676428
10567,23068,44.994,-84.542,s214,6,4,30.375,395442.54054048576
11140,23827,44.812,-84.73299999999999,s214,6,5,59.41349999999999,485442.58335233526
12562,25722,44.38399999999999,-85.588,s214,6,5,44.9307,504460.1432508203
11138,23825,44.835,-85.041,s214,6,5,27.9693,514896.62579015567
8865,20785,45.61,-84.896,s214,6,5,41.553,518610.95534599375
11986,24961,44.588,-85.70700000000001,s214,6,5,19.0755,544514.8656482734
10852,23447,44.909,-84.715,s214,6,5,35.6967,547892.3157101129
12276,25345,44.448,-85.11200000000001,s214,6,5,61.6734,609337.3074192756
10566,23067,45.006,-84.696,s214,6,5,6.3423,620218.2257643434
12569,25729,44.305,-84.51899999999999,s214,6,5,26.5113,719413.0297776749
12852,26103,44.276,-85.45200000000001,s214,6,5,6.463799999999999,831819.9686884858
13148,26488,44.123000000000005,-84.708,s214,6,5,20.9952,939861.9830615312
12853,26104,44.265,-85.29899999999999,s214,6,5,10.7406,1224612.4038080804
8582,20405,45.707,-84.87700000000001,s214,6,5,13.0491,1242122.434254947
12564,25724,44.362,-85.28200000000001,s214,6,5,14.191199999999998,1359216.792211255
11418,24202,44.771,-85.52,s214,6,5,8.5779,2141521.268811177
13445,26867,44.038,-84.87799999999999,s214,6,5,10.0359,2428792.789666525
15039,28769,43.531000000000006,-84.666,s214,7,1,195.6879,46956.77064770963
11141,23828,44.801,-84.579,s214,7,1,159.7725,133214.23124630348
10564,23065,45.029,-85.005,s214,7,1,106.1667,135420.065285409
11714,24590,44.583,-84.31,s214,7,1,111.6828,151016.0772482556
11428,24212,44.656000000000006,-83.984,s214,7,1,87.9417,151826.6063186151
9707,21926,45.308,-84.795,s214,7,1,117.0531,176189.8318691794
13141,26481,44.2,-85.773,s214,7,1,89.83709999999998,184605.6762680309
11715,24591,44.571000000000005,-84.15700000000001,s214,7,1,77.2983,188073.53227231864
11995,24970,44.487,-84.329,s214,7,2,97.0542,189795.19692594447
11991,24966,44.533,-84.941,s214,7,2,130.1994,191569.5719819114
11707,24583,44.663,-85.383,s214,7,2,94.5513,197062.01266988955
11712,24588,44.607,-84.616,s214,7,2,76.3263,204683.13534098
12850,26101,44.297,-85.757,s214,7,2,87.3342,206294.1256885563
13142,26482,44.19,-85.62100000000001,s214,7,2,82.08539999999998,212818.0664712589
9708,21927,45.29600000000001,-84.64,s214,7,2,50.4468,219838.22275089123
11143,23830,44.777,-84.272,s214,7,2,56.15729999999999,222451.3060581039
11419,24203,44.76,-85.366,s214,7,2,47.871,246827.2201234571
10563,23064,45.04,-85.15899999999999,s214,7,2,51.9048,249452.8134080208
11713,24589,44.595,-84.463,s214,7,3,92.4372,253191.95189372663
11711,24587,44.619,-84.77,s214,7,3,59.5107,253765.8196215345
11710,24586,44.63,-84.92299999999999,s214,7,3,102.3759,257590.56347147573
11142,23829,44.789,-84.425,s214,7,3,64.9539,260190.9069092457
10856,23451,44.861,-84.09899999999999,s214,7,3,71.27189999999997,260798.3045767399
11137,23824,44.846,-85.195,s214,7,3,30.3993,277942.2374173534
10853,23448,44.897,-84.561,s214,7,3,61.2603,282954.1905080105
9996,22308,45.188,-84.50399999999999,s214,7,3,80.6274,300504.2367517935
11423,24207,44.715,-84.751,s214,7,3,74.26079999999997,308934.3829728732
10854,23449,44.886,-84.40700000000001,s214,7,3,38.5641,315604.82770100667
10857,23452,44.849,-83.945,s214,7,3,61.479,323945.1652645336
11427,24211,44.668,-84.13799999999999,s214,7,3,13.4379,355222.95769381704
11422,24206,44.727,-84.905,s214,7,4,85.29299999999998,356083.06110691087
14066,27624,43.878,-85.368,s214,7,4,36.3285,387422.1323838945
11424,24208,44.70399999999999,-84.598,s214,7,4,52.0749,429840.65630381455
11420,24204,44.749,-85.212,s214,7,4,32.173199999999994,435828.0376060547
12281,25350,44.39,-84.348,s214,7,4,57.4209,447546.8198019646
11992,24967,44.522,-84.788,s214,7,4,38.7585,450242.9493893278
9146,21168,45.478,-84.447,s214,7,4,49.9122,452500.3399085583
10279,22685,45.125,-84.98700000000001,s214,7,4,46.899,464797.6142848502
11145,23832,44.752,-83.965,s214,7,4,37.9809,494343.5418248564
12272,25341,44.49100000000001,-85.72399999999999,s214,7,4,33.980634118652354,506411.5167953849
9709,21928,45.284,-84.485,s214,7,4,27.459,542207.8082455386
12859,26110,44.196000000000005,-84.385,s214,7,4,40.824,564348.0610660077
9997,22309,45.176,-84.35,s214,7,4,53.8488,568431.8655778276
11425,24209,44.692,-84.444,s214,7,4,43.4727,579940.1100762166
12273,25342,44.48,-85.571,s214,7,4,33.3153,591796.8002030314
15034,28764,43.587,-85.419,s214,7,4,38.1753,603562.7126520769
11706,24582,44.674,-85.537,s214,7,4,20.412,604570.3623646777
10278,22684,45.137,-85.141,s214,7,4,15.5763,623577.9439894756
10282,22688,45.091,-84.523,s214,7,4,33.4368,632828.0807913819
12280,25349,44.402,-84.5,s214,7,4,27.6534,637832.042651322
11990,24965,44.545,-85.094,s214,7,5,52.6095,647422.6106450444
11994,24969,44.499,-84.48200000000001,s214,7,5,21.5298,652990.2259975031
9144,21166,45.501000000000005,-84.758,s214,7,5,18.5409,659618.305255908
11988,24963,44.567,-85.4,s214,7,5,28.7712,698931.138270657
12571,25731,44.281000000000006,-84.214,s214,7,5,8.5293,812870.7351047789
12857,26108,44.22,-84.69,s214,7,5,20.898000000000003,823225.9377316908
15041,28771,43.507,-84.365,s214,7,5,13.1949,825123.6103635217
12275,25344,44.459,-85.265,s214,7,5,31.5657,827045.8033908915
14709,28384,43.684,-85.402,s214,7,5,12.6117,845930.4845248607
9427,21548,45.381,-84.46600000000001,s214,7,5,19.0755,854129.9315025235
11993,24968,44.51,-84.635,s214,7,5,18.1278,860919.6046437891
12856,26107,44.231,-84.84200000000001,s214,7,5,34.5789,885170.4009071256
13149,26489,44.112,-84.556,s214,7,5,14.9931,904485.2529808566
10849,23444,44.943000000000005,-85.177,s214,7,5,8.6508,916867.780195968
8867,20787,45.587,-84.584,s214,7,5,8.019,948680.8528962234
13147,26487,44.135,-84.86,s214,7,5,30.7395,953518.653164976
14065,27623,43.889,-85.52,s214,7,5,16.208099999999998,959905.31521883
14711,28386,43.662,-85.1,s214,7,5,28.4553,1022197.8856934104
13755,27247,43.941,-84.896,s214,7,5,21.8457,1033921.5774112982
11426,24210,44.68,-84.291,s214,7,5,15.5763,1114480.562693778
9705,21924,45.33,-85.10600000000001,s214,7,5,9.9873,1124713.6415159877
13756,27248,43.93,-84.744,s214,7,5,16.3053,1185214.806590468
8866,20786,45.598,-84.74,s214,7,5,13.8996,1186398.0000357458
11987,24962,44.577,-85.554,s214,7,5,9.5499,1255931.8355090504
14713,28388,43.639,-84.79799999999999,s214,7,5,5.8077,1318800.69408922
8869,20789,45.563,-84.273,s214,7,5,12.15,1344857.2810540905
11708,24584,44.652,-85.23,s214,7,5,16.6212,1373282.7917038726
12565,25725,44.351000000000006,-85.12899999999999,s214,7,5,19.6344,1386637.338642885
12855,26106,44.243,-84.994,s214,7,5,23.7411,1432050.5551337132
11421,24205,44.738,-85.05799999999999,s214,7,5,13.0491,1472852.237983601
10277,22683,45.148,-85.296,s214,7,5,6.463799999999999,1508712.244643148
12566,25726,44.34,-84.977,s214,7,5,24.2271,1536727.3591139405
8868,20788,45.575,-84.428,s214,7,5,5.5404,1540425.3242403956
14386,28008,43.736,-84.78,s214,7,5,8.3592,1590491.295414307
10562,23063,45.051,-85.314,s214,7,5,7.4601,1708468.399908
11709,24585,44.641000000000005,-85.07600000000001,s214,7,5,15.0417,1721038.776628721
12274,25343,44.47,-85.41799999999999,s214,7,5,7.6545,1740045.1892992454
14070,27628,43.833,-84.762,s214,7,5,2.3328,1774389.156140201
13146,26486,44.146,-85.012,s214,7,5,13.5837,1800039.857415273
11989,24964,44.556,-85.24700000000001,s214,7,5,14.968799999999998,1842442.4012123456
9425,21546,45.405,-84.777,s214,7,5,9.3798,1861267.6220802064
14382,28004,43.781000000000006,-85.385,s214,7,5,8.2134,1864292.5932006536
14069,27627,43.844,-84.914,s214,7,5,8.480699999999999,1871869.5973863248
9710,21929,45.273,-84.33,s214,7,5,12.3687,1958173.9123062948
14712,28387,43.651,-84.949,s214,7,5,7.897499999999999,2259542.9629198485
13145,26485,44.157,-85.164,s214,7,5,7.6059,2276885.5744482656
15037,28767,43.554,-84.96700000000001,s214,7,5,7.484399999999999,2294505.8437542794
13446,26868,44.026,-84.726,s214,7,5,6.439500000000002,2362256.691915164
14385,28007,43.748000000000005,-84.931,s214,7,5,7.946099999999999,2386027.5495393504
12277,25346,44.43600000000001,-84.959,s214,7,5,12.4416,2390244.272463102
15040,28770,43.519,-84.515,s214,7,5,4.641299999999998,2467531.9850296094
14710,28385,43.673,-85.251,s214,7,5,7.387199999999999,2559189.709518691
9147,21169,45.466,-84.292,s214,7,5,9.0639,2646642.9899132694
15359,29146,43.468,-85.135,s214,7,5,6.050699999999999,2751208.8426360125
12278,25347,44.425,-84.806,s214,7,5,8.1891,2758270.4539708784
15036,28766,43.565,-85.117,s214,7,5,8.7966,2865832.3866700344
15357,29144,43.49,-85.436,s214,7,5,6.245100000000001,3171550.5160540533
9424,21545,45.416,-84.932,s214,7,5,6.3909,3288358.136319536
9428,21549,45.369,-84.311,s214,7,5,5.5404,3817207.778559644
14384,28006,43.75899999999999,-85.083,s214,7,5,6.3909,4059613.775510615
15038,28768,43.543,-84.816,s214,7,5,0.6560999999999999,14303725.793869209
8583,20406,45.695,-84.721,s214,7,5,0.7047,16122418.59292068
8298,20026,45.792,-84.70299999999999,s214,7,5,0.9234,24042970.404286526
15361,29148,43.446000000000005,-84.834,s214,7,5,0.1457999999999999,70425543.38365398
9426,21547,45.393,-84.62200000000001,s214,8,1,24.6888,495648.3962914575
9993,22305,45.222,-84.969,s214,8,2,23.4981,948370.7635979482
