"Dim1","Dim2","Dim3","Dim4","Dim5","Val"
"p4","p1","AC","summ","2048",2046.41972954363
"p4","p1","AC","summ","2050",1616.36727998032
"p4","p1","AC","fall","2022",4219.78025023
"p4","p1","AC","fall","2024",7159.25014732115
"p4","p1","AC","fall","2026",6806.08578342975
"p4","p1","AC","fall","2028",6062.6338042822
"p4","p1","AC","fall","2030",5333.29532577997
"p4","p1","AC","fall","2032",5268.96021865062
"p4","p1","AC","fall","2034",5647.57202942953
"p4","p1","AC","fall","2036",6479.37135076504
"p4","p1","AC","fall","2038",7078.81021895477
"p4","p1","AC","fall","2040",6823.52127786896
"p4","p1","AC","fall","2042",5462.00399301195
"p4","p1","AC","fall","2044",4013.16532978043
"p4","p1","AC","fall","2046",2598.71234685798
"p4","p1","AC","fall","2048",2012.48836318595
"p4","p1","AC","fall","2050",1559.66356725721
"p4","p1","AC","wint","2022",8101.81
"p4","p1","AC","wint","2024",8101.81
"p4","p1","AC","wint","2026",4628.49070177198
"p4","p1","AC","wint","2028",8103.39207005202
"p4","p1","AC","wint","2030",5730.70799909997
"p4","p1","AC","wint","2032",8142.24878405417
"p4","p1","AC","wint","2034",5094.46456631428
"p4","p1","AC","wint","2036",8173.08036527223
"p4","p1","AC","wint","2038",8176.05232156596
"p4","p1","AC","wint","2040",8176.05232156596
"p4","p1","AC","wint","2042",8198.44452862712
"p4","p1","AC","wint","2044",8199.16288776265
"p4","p1","AC","wint","2046",7716.56927803149
"p4","p1","AC","wint","2048",6487.92221316099
"p4","p1","AC","wint","2050",6103.47845041275
"p4","p1","AC","spri","2022",4934.85656526
"p4","p1","AC","spri","2024",8101.81
"p4","p1","AC","spri","2026",8101.85145968968
"p4","p1","AC","spri","2028",8103.39207005202
"p4","p1","AC","spri","2030",4217.69879169145
"p4","p1","AC","spri","2032",4243.10047484846
"p4","p1","AC","spri","2034",8142.30590726915
"p4","p1","AC","spri","2036",8173.08036527223
"p4","p1","AC","spri","2038",8176.05232156596
"p4","p1","AC","spri","2040",8176.05232156596
"p4","p1","AC","spri","2042",8198.44452862712
"p4","p1","AC","spri","2044",8199.16288776265
"p4","p1","AC","spri","2046",8199.50567123184
"p4","p1","AC","spri","2048",8221.93270222624
"p4","p1","AC","spri","2050",8058.3537477834
"p4","p2","AC","summ","2022",3965.506
"p4","p2","AC","summ","2024",3965.506
"p4","p2","AC","summ","2026",3965.506
"p4","p2","AC","summ","2028",3965.6046559478
"p4","p2","AC","summ","2030",4648.48659445003
