dimension_1,dimension_2,dimension_3,Value
model_name,parent_class_id,parent_id,275.616
model_name,parent_class_id,parent_id,280.287999999999
model_name,parent_class_id,parent_id,280.959999999999
model_name,parent_class_id,parent_id,872.496
model_name,parent_class_id,parent_id,853.572
model_name,parent_class_id,parent_id,854.8668
model_name,parent_class_id,parent_id,848.23431932935
model_name,parent_class_id,parent_id,811.7599252176
model_name,parent_class_id,parent_id,835.9428
model_name,parent_class_id,parent_id,837.23651544486
model_name,parent_class_id,parent_id,837.138
model_name,parent_class_id,parent_id,839.79411865543
model_name,parent_class_id,parent_id,831.19585261003
model_name,parent_class_id,parent_id,834.14460713077
model_name,parent_class_id,parent_id,844.05880667036
model_name,parent_class_id,parent_id,853.3728
model_name,parent_class_id,parent_id,854.52326857758
model_name,parent_class_id,parent_id,852.4764
model_name,parent_class_id,parent_id,851.01736499589
model_name,parent_class_id,parent_id,857.8548
model_name,parent_class_id,parent_id,855.2652
model_name,parent_class_id,parent_id,852.92970158973
model_name,parent_class_id,parent_id,855.17606163766
model_name,parent_class_id,parent_id,853.4724
model_name,parent_class_id,parent_id,860.2452
model_name,parent_class_id,parent_id,857.13683599322
model_name,parent_class_id,parent_id,856.44164574964
model_name,parent_class_id,parent_id,857.58883948278
model_name,parent_class_id,parent_id,859.548
model_name,parent_class_id,parent_id,857.556
model_name,parent_class_id,parent_id,858.65901448365
model_name,parent_class_id,parent_id,872.41404557077
model_name,parent_class_id,parent_id,874.53116853961
model_name,parent_class_id,parent_id,131.4
model_name,parent_class_id,parent_id,126.36
model_name,parent_class_id,parent_id,126.5299807886
model_name,parent_class_id,parent_id,125.79189055993
model_name,parent_class_id,parent_id,121.665
model_name,parent_class_id,parent_id,122.19
model_name,parent_class_id,parent_id,119.88
model_name,parent_class_id,parent_id,122.415
model_name,parent_class_id,parent_id,122.67
model_name,parent_class_id,parent_id,122.49
model_name,parent_class_id,parent_id,122.91525707431
model_name,parent_class_id,parent_id,126.495
model_name,parent_class_id,parent_id,123.675
model_name,parent_class_id,parent_id,124.23
model_name,parent_class_id,parent_id,123.495
model_name,parent_class_id,parent_id,125.205
model_name,parent_class_id,parent_id,127.815
model_name,parent_class_id,parent_id,128.805
model_name,parent_class_id,parent_id,128.04
model_name,parent_class_id,parent_id,128.235
model_name,parent_class_id,parent_id,128.37
model_name,parent_class_id,parent_id,129.555
model_name,parent_class_id,parent_id,128.775
model_name,parent_class_id,parent_id,128.7
model_name,parent_class_id,parent_id,128.43
model_name,parent_class_id,parent_id,127.45844182535
model_name,parent_class_id,parent_id,129.15
model_name,parent_class_id,parent_id,129.195
model_name,parent_class_id,parent_id,131.385
model_name,parent_class_id,parent_id,131.7
model_name,parent_class_id,parent_id,218.999999999999
model_name,parent_class_id,parent_id,211.069120870069
model_name,parent_class_id,parent_id,213.924999999999
model_name,parent_class_id,parent_id,210.349999999999
model_name,parent_class_id,parent_id,202.774999999999
model_name,parent_class_id,parent_id,205.324999999999
model_name,parent_class_id,parent_id,202.935225159319
model_name,parent_class_id,parent_id,205.943664921279
model_name,parent_class_id,parent_id,206.224031365179
model_name,parent_class_id,parent_id,204.149999999999
model_name,parent_class_id,parent_id,204.874999999999
model_name,parent_class_id,parent_id,210.849999999999
model_name,parent_class_id,parent_id,214.199999999999
model_name,parent_class_id,parent_id,211.101170527599
model_name,parent_class_id,parent_id,212.374999999999
model_name,parent_class_id,parent_id,212.049999999999
model_name,parent_class_id,parent_id,215.324999999999
model_name,parent_class_id,parent_id,214.674999999999
model_name,parent_class_id,parent_id,213.403970708509
model_name,parent_class_id,parent_id,214.274999999999
model_name,parent_class_id,parent_id,214.224999999999
model_name,parent_class_id,parent_id,215.924999999999
model_name,parent_class_id,parent_id,214.624999999999
model_name,parent_class_id,parent_id,214.499999999999
model_name,parent_class_id,parent_id,215.174999999999
model_name,parent_class_id,parent_id,215.582700665639
model_name,parent_class_id,parent_id,215.249999999999
model_name,parent_class_id,parent_id,215.324999999999
model_name,parent_class_id,parent_id,218.974999999999
model_name,parent_class_id,parent_id,219.499999999999
model_name,parent_class_id,parent_id,144.54
model_name,parent_class_id,parent_id,141.405
model_name,parent_class_id,parent_id,141.6195
model_name,parent_class_id,parent_id,138.996
model_name,parent_class_id,parent_id,133.848
model_name,parent_class_id,parent_id,137.874
model_name,parent_class_id,parent_id,137.5275
model_name,parent_class_id,parent_id,138.6825
model_name,parent_class_id,parent_id,139.76432297034
model_name,parent_class_id,parent_id,134.7555
model_name,parent_class_id,parent_id,139.22166717979
model_name,parent_class_id,parent_id,139.25543732502
model_name,parent_class_id,parent_id,141.372
model_name,parent_class_id,parent_id,140.9925
model_name,parent_class_id,parent_id,141.2235
model_name,parent_class_id,parent_id,140.514
model_name,parent_class_id,parent_id,142.1145
model_name,parent_class_id,parent_id,141.6855
model_name,parent_class_id,parent_id,141.372
model_name,parent_class_id,parent_id,141.5865
model_name,parent_class_id,parent_id,141.3885
model_name,parent_class_id,parent_id,142.5105
model_name,parent_class_id,parent_id,141.999
model_name,parent_class_id,parent_id,141.867
model_name,parent_class_id,parent_id,142.0155
model_name,parent_class_id,parent_id,142.3125
model_name,parent_class_id,parent_id,142.065
model_name,parent_class_id,parent_id,142.131
model_name,parent_class_id,parent_id,0.0
model_name,parent_class_id,parent_id,0.0
model_name,parent_class_id,parent_id,105.119999999999
model_name,parent_class_id,parent_id,101.828156199079
model_name,parent_class_id,parent_id,102.683999999999
model_name,parent_class_id,parent_id,100.967999999999
model_name,parent_class_id,parent_id,97.3319999999995
model_name,parent_class_id,parent_id,100.271999999999
model_name,parent_class_id,parent_id,99.8531020777694
model_name,parent_class_id,parent_id,99.7439999999994
model_name,parent_class_id,parent_id,101.159999999999
model_name,parent_class_id,parent_id,98.0039999999995
model_name,parent_class_id,parent_id,100.331999999999
model_name,parent_class_id,parent_id,101.207999999999
model_name,parent_class_id,parent_id,102.815999999999
model_name,parent_class_id,parent_id,102.527999999999
model_name,parent_class_id,parent_id,102.035999999999
model_name,parent_class_id,parent_id,101.783999999999
model_name,parent_class_id,parent_id,103.355999999999
model_name,parent_class_id,parent_id,103.043999999999
model_name,parent_class_id,parent_id,102.467999999999
model_name,parent_class_id,parent_id,102.964962143619
model_name,parent_class_id,parent_id,102.827999999999
model_name,parent_class_id,parent_id,103.643999999999
model_name,parent_class_id,parent_id,103.187999999999
model_name,parent_class_id,parent_id,103.175999999999
model_name,parent_class_id,parent_id,103.283999999999
model_name,parent_class_id,parent_id,103.499999999999
model_name,parent_class_id,parent_id,103.319999999999
model_name,parent_class_id,parent_id,103.355999999999
model_name,parent_class_id,parent_id,105.107999999999
model_name,parent_class_id,parent_id,105.359999999999
model_name,parent_class_id,parent_id,48.1799999999999
model_name,parent_class_id,parent_id,46.4089999999998
model_name,parent_class_id,parent_id,47.0634999999999
model_name,parent_class_id,parent_id,46.2769999999999
model_name,parent_class_id,parent_id,44.6104999999999
model_name,parent_class_id,parent_id,45.1714999999999
model_name,parent_class_id,parent_id,44.7831940598199
model_name,parent_class_id,parent_id,45.3034999999999
model_name,parent_class_id,parent_id,44.9789999999999
model_name,parent_class_id,parent_id,44.9129999999999
model_name,parent_class_id,parent_id,45.0724999999999
model_name,parent_class_id,parent_id,46.3869999999999
model_name,parent_class_id,parent_id,47.1239999999999
model_name,parent_class_id,parent_id,46.4419999999999
model_name,parent_class_id,parent_id,46.7224999999999
model_name,parent_class_id,parent_id,46.6509999999999
model_name,parent_class_id,parent_id,47.3714999999999
model_name,parent_class_id,parent_id,47.2284999999999
model_name,parent_class_id,parent_id,46.9479999999999
model_name,parent_class_id,parent_id,47.1404999999999
model_name,parent_class_id,parent_id,47.1294999999999
model_name,parent_class_id,parent_id,47.5034999999999
model_name,parent_class_id,parent_id,47.2174999999999
model_name,parent_class_id,parent_id,47.1899999999999
model_name,parent_class_id,parent_id,47.3384999999999
model_name,parent_class_id,parent_id,47.4374999999999
model_name,parent_class_id,parent_id,47.3549999999999
model_name,parent_class_id,parent_id,47.3714999999999
model_name,parent_class_id,parent_id,0.0
model_name,parent_class_id,parent_id,0.0
model_name,parent_class_id,parent_id,218.999999999999
model_name,parent_class_id,parent_id,210.855526933419
model_name,parent_class_id,parent_id,213.303193799889
model_name,parent_class_id,parent_id,210.349999999999
model_name,parent_class_id,parent_id,201.713966629329
model_name,parent_class_id,parent_id,204.211613747449
model_name,parent_class_id,parent_id,199.799999999999
model_name,parent_class_id,parent_id,204.024999999999
model_name,parent_class_id,parent_id,204.449999999999
model_name,parent_class_id,parent_id,204.149999999999
model_name,parent_class_id,parent_id,204.874999999999
model_name,parent_class_id,parent_id,210.826513936909
model_name,parent_class_id,parent_id,206.124999999999
model_name,parent_class_id,parent_id,208.974999999999
model_name,parent_class_id,parent_id,211.830873314789
model_name,parent_class_id,parent_id,212.049999999999
model_name,parent_class_id,parent_id,213.296715044419
model_name,parent_class_id,parent_id,214.674999999999
model_name,parent_class_id,parent_id,213.399999999999
model_name,parent_class_id,parent_id,213.724999999999
model_name,parent_class_id,parent_id,213.949999999999
model_name,parent_class_id,parent_id,215.924999999999
model_name,parent_class_id,parent_id,214.624999999999
model_name,parent_class_id,parent_id,214.499999999999
model_name,parent_class_id,parent_id,214.476937650949
model_name,parent_class_id,parent_id,215.324999999999
model_name,parent_class_id,parent_id,215.249999999999
model_name,parent_class_id,parent_id,215.324999999999
